,images,labels,p,r,map50,map
all,120.0,180.0,0.44212443907115145,0.07857061681301158,0.10295616459765725,0.0735448841641202
Geschwindigkeitsbegrenzung 20 km/h,120.0,2.0,1.0,0.0,0.0,0.0
Geschwindigkeitsbegrenzung 30 km/h,120.0,6.0,0.30956018504302985,0.15478009252151492,0.11475999999999999,0.05738
Geschwindigkeitsbegrenzung 50 km/h,120.0,12.0,0.18121499726437998,0.08333333333333333,0.07907272727272727,0.07116545454545455
Geschwindigkeitsbegrenzung 60 km/h,120.0,6.0,0.17164706695171325,0.16666666666666666,0.21148,0.190332
Geschwindigkeitsbegrenzung 70 km/h,120.0,6.0,0.16609752455241378,0.16666666666666666,0.12897999999999998,0.11608199999999998
Geschwindigkeitsbegrenzung 80 km/h,120.0,7.0,0.1503257275444557,0.14285714285714285,0.07746875000000002,0.023240625000000004
Geschwindigkeitsbegrenzung aufgehoben,120.0,4.0,1.0,0.0,0.0,0.0
Geschwindigkeitsbegrenzung 100 km/h,120.0,13.0,0.16666666666666666,0.07692307692307693,0.11474166666666669,0.022948333333333338
Geschwindigkeitsbegrenzung 120 km/h,120.0,17.0,0.0,0.0,0.0,0.0
Überholverbot,120.0,4.0,0.0,0.0,0.0,0.0
Überholverbot für LKW,120.0,16.0,0.08206886501460145,0.0625,0.04955285714285715,0.02973171428571429
Vorfahrt,120.0,3.0,1.0,0.0,0.0,0.0
Vorfahrtsstraße,120.0,13.0,0.9390202459268607,0.23076923076923078,0.463228,0.38901232727272717
Vorfahrt gewähren,120.0,11.0,0.0,0.0,0.0,0.0
Stopschild,120.0,7.0,0.5346579677855398,0.2857142857142857,0.46392,0.4069568333333334
Verbot für Fahrzeuge aller Art,120.0,1.0,0.0,0.0,0.0,0.0
Verbot der Einfahrt,120.0,5.0,0.0,0.0,0.0,0.0
Gefahrstelle,120.0,8.0,0.5097710009637846,0.125,0.2343714285714286,0.14062285714285716
Kurve links,120.0,1.0,0.0,0.0,0.0,0.0
Kurve rechts,120.0,1.0,0.0,0.0,0.0,0.0
Unebene Fahrbahn,120.0,3.0,1.0,0.0,0.0,0.0
Schleudergefahr,120.0,4.0,1.0,0.0,0.0,0.0
Baustelle,120.0,2.0,1.0,0.0,0.0,0.0
Lichtzeichenanlage,120.0,2.0,1.0,0.0,0.0,0.0
Fußgängerüberweg,120.0,2.0,0.0,0.0,0.0,0.0
spielende Kinder,120.0,1.0,0.0,0.0,0.0,0.0
Schnee- und Eisglätte,120.0,2.0,1.0,0.0,0.0,0.0
Alle Streckenverbote aufgehoben,120.0,1.0,0.0,0.0,0.0,0.0
Vorgeschriebene Fahrtrichtung rechts,120.0,3.0,0.51333454666788,0.3333333333333333,0.4013300000000001,0.28093100000000004
Vorgeschriebene Fahrtrichtung links,120.0,2.0,0.4164371452280604,0.5,0.5799999999999998,0.46399999999999986
Vorgeschriebene Fahrtrichtung geradeaus,120.0,5.0,0.3911327291316049,0.2,0.33000000000000007,0.13200000000000003
Vorgeschriebene Fahrtrichtung geradeaus oder rechts,120.0,2.0,1.0,0.0,0.0,0.0
Rechts vorbei,120.0,7.0,0.5002962596781582,0.14285714285714285,0.25160416666666663,0.17612291666666663
Überholverbot aufgehoben,120.0,1.0,1.0,0.0,0.0,0.0
