,images,labels,p,r,map50,map
all,120.0,180.0,0.5533643071630197,0.4545676373997014,0.43282437666629425,0.3486327257219456
Geschwindigkeitsbegrenzung 20 km/h,120.0,2.0,1.0,0.0,0.0,0.0
Geschwindigkeitsbegrenzung 30 km/h,120.0,6.0,0.7997636674107261,0.16666666666666666,0.2934083333333333,0.2411773939393939
Geschwindigkeitsbegrenzung 50 km/h,120.0,12.0,0.5075328266677585,0.25,0.3045733908948194,0.25059839410589413
Geschwindigkeitsbegrenzung 60 km/h,120.0,6.0,0.329754046484898,0.3333333333333333,0.2786607142857143,0.2601267023809524
Geschwindigkeitsbegrenzung 70 km/h,120.0,6.0,0.5101203958824315,0.8333333333333334,0.792257142857143,0.6974961714285716
Geschwindigkeitsbegrenzung 80 km/h,120.0,7.0,0.2494490629333149,0.42857142857142855,0.22165974025974017,0.158249935064935
Geschwindigkeitsbegrenzung aufgehoben,120.0,4.0,0.523187542746945,0.25,0.25617647058823534,0.1537058823529412
Geschwindigkeitsbegrenzung 100 km/h,120.0,13.0,0.4832619381885629,0.3076923076923077,0.5333250000000003,0.4461653740530305
Geschwindigkeitsbegrenzung 120 km/h,120.0,17.0,0.47663819543906355,0.5360147898049656,0.46247044695071016,0.36783491708437765
Überholverbot,120.0,4.0,0.0,0.0,0.0,0.0
Überholverbot für LKW,120.0,16.0,0.33784065189687673,0.4375,0.3173441446171422,0.2625664241301541
Vorfahrt,120.0,3.0,0.5014280291093562,0.6666666666666666,0.6728279069767441,0.5557836046511627
Vorfahrtsstraße,120.0,13.0,0.8588843175383534,0.46153846153846156,0.492492118226601,0.3642121490147784
Vorfahrt gewähren,120.0,11.0,0.9317844049500233,0.6363636363636364,0.6553499999999999,0.5078957142857142
Stopschild,120.0,7.0,0.6739786106580024,0.2857142857142857,0.5073954022988506,0.448080367816092
Verbot für Fahrzeuge aller Art,120.0,1.0,0.11188710694370321,1.0,0.995,0.8955
Verbot der Einfahrt,120.0,5.0,0.36721012694719535,0.2,0.10544117647058822,0.06326470588235293
Gefahrstelle,120.0,8.0,0.8083576599635443,0.5,0.5211538461538461,0.4743268864468863
Kurve links,120.0,1.0,0.3862243391692222,1.0,0.995,0.9949999999999999
Kurve rechts,120.0,1.0,0.11842261920039697,1.0,0.16583333333333333,0.0995
Unebene Fahrbahn,120.0,3.0,0.751629403208476,1.0,0.995,0.796
Schleudergefahr,120.0,4.0,0.40149875903300564,0.5,0.5299080882352942,0.42217095588235304
Baustelle,120.0,2.0,0.0,0.0,0.0,0.0
Lichtzeichenanlage,120.0,2.0,0.3925212050390877,1.0,0.4975,0.32453000000000004
Fußgängerüberweg,120.0,2.0,1.0,0.0,0.0,0.0
spielende Kinder,120.0,1.0,1.0,0.0,0.0,0.0
Schnee- und Eisglätte,120.0,2.0,0.4543590169499922,1.0,0.995,0.7473076923076923
Alle Streckenverbote aufgehoben,120.0,1.0,0.3404095175391339,1.0,0.995,0.796
Vorgeschriebene Fahrtrichtung rechts,120.0,3.0,0.3347041571146018,0.3333333333333333,0.47465,0.37972
Vorgeschriebene Fahrtrichtung links,120.0,2.0,0.9826488957471324,0.5,0.5037931034482759,0.45341379310344826
Vorgeschriebene Fahrtrichtung geradeaus,120.0,5.0,0.6763041613535363,0.4,0.41467741935483876,0.26975806451612905
Vorgeschriebene Fahrtrichtung geradeaus oder rechts,120.0,2.0,1.0,0.0,0.0,0.0
Rechts vorbei,120.0,7.0,0.5045857854273252,0.42857142857142855,0.40846436170212763,0.3567942127659574
Überholverbot aufgehoben,120.0,1.0,1.0,0.0,0.33166666666666667,0.06633333333333333
