               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.013136,           0.0065045,            0.015238,             0.93892,             0.95171,              0.9608,              0.8889,           0.0058637,           0.0026332,           0.0022175,           0.0076679,           0.0076679,           0.0076679
                  36,             0.01313,           0.0065138,            0.015415,             0.94194,             0.94789,             0.96062,             0.88909,           0.0058404,           0.0026292,           0.0022183,            0.007543,            0.007543,            0.007543
                  37,            0.013076,           0.0064836,            0.015202,             0.94126,             0.94885,              0.9604,              0.8894,           0.0058155,           0.0026258,           0.0022229,            0.007416,            0.007416,            0.007416
                  38,            0.012913,           0.0064756,            0.015087,             0.94237,             0.94735,             0.96061,              0.8896,           0.0057928,           0.0026239,           0.0022269,           0.0072872,           0.0072872,           0.0072872
                  39,            0.012901,           0.0064269,            0.014826,             0.94127,             0.94864,             0.96059,             0.88974,           0.0057855,           0.0026231,           0.0022262,           0.0071566,           0.0071566,           0.0071566
                  40,            0.012834,           0.0064194,            0.014601,             0.93738,             0.95269,             0.96066,             0.88993,           0.0057604,           0.0026204,           0.0022288,           0.0070243,           0.0070243,           0.0070243
                  41,            0.012776,           0.0064295,            0.014572,             0.93694,             0.95261,              0.9606,             0.89001,           0.0057564,           0.0026173,           0.0022346,           0.0068906,           0.0068906,           0.0068906
                  42,            0.012718,           0.0063947,            0.014342,             0.94098,             0.94941,             0.96077,             0.89041,           0.0057548,           0.0026149,           0.0022357,           0.0067555,           0.0067555,           0.0067555
                  43,             0.01261,           0.0063415,            0.014238,             0.94252,             0.94951,             0.96118,             0.89115,           0.0057375,           0.0026128,           0.0022323,           0.0066191,           0.0066191,           0.0066191
                  44,            0.012535,           0.0063624,            0.013722,             0.94251,             0.94951,             0.96157,             0.89172,           0.0057246,           0.0026096,           0.0022354,           0.0064816,           0.0064816,           0.0064816
                  45,             0.01246,           0.0063377,            0.013908,             0.94152,             0.95113,             0.96145,             0.89227,            0.005703,            0.002608,           0.0022385,           0.0063432,           0.0063432,           0.0063432
                  46,            0.012397,           0.0062959,            0.013336,             0.94209,             0.95067,             0.96145,             0.89238,           0.0056818,           0.0026037,           0.0022406,            0.006204,            0.006204,            0.006204
                  47,            0.012326,           0.0062996,            0.013455,             0.94179,             0.95117,             0.96108,             0.89231,           0.0056564,           0.0025983,           0.0022465,            0.006064,            0.006064,            0.006064
                  48,            0.012183,           0.0062411,             0.01333,             0.94206,             0.95103,             0.96132,             0.89285,           0.0056506,           0.0025965,           0.0022388,           0.0059235,           0.0059235,           0.0059235
                  49,            0.012119,           0.0062454,            0.013126,             0.94248,             0.95084,             0.96141,             0.89275,           0.0056516,           0.0025941,           0.0022348,           0.0057826,           0.0057826,           0.0057826
                  50,            0.012055,           0.0062131,            0.012819,             0.94245,             0.95088,             0.96138,             0.89287,           0.0056485,           0.0025938,           0.0022309,           0.0056413,           0.0056413,           0.0056413
                  51,            0.012015,           0.0061939,            0.012641,             0.94267,             0.95119,             0.96166,             0.89372,           0.0056284,           0.0025929,           0.0022268,              0.0055,              0.0055,              0.0055
                  52,            0.011981,           0.0061678,            0.012663,             0.94295,             0.95165,             0.96179,             0.89418,           0.0055998,           0.0025908,           0.0022312,           0.0053587,           0.0053587,           0.0053587
                  53,            0.011871,           0.0061531,            0.012578,              0.9446,             0.94934,             0.96143,             0.89473,           0.0055578,           0.0025873,           0.0022375,           0.0052174,           0.0052174,           0.0052174
                  54,            0.011843,           0.0061121,            0.012501,             0.94499,             0.94864,             0.96123,             0.89499,           0.0055395,            0.002583,           0.0022369,           0.0050765,           0.0050765,           0.0050765
                  55,            0.011755,           0.0061125,            0.012218,             0.94361,             0.94925,             0.96104,             0.89492,           0.0055245,            0.002583,           0.0022445,            0.004936,            0.004936,            0.004936
                  56,            0.011699,           0.0060919,            0.012099,             0.94377,             0.94913,             0.96139,             0.89596,           0.0055046,           0.0025816,           0.0022405,            0.004796,            0.004796,            0.004796
                  57,            0.011601,           0.0060699,            0.011745,             0.94632,             0.94692,             0.96154,             0.89617,           0.0054871,            0.002582,           0.0022409,           0.0046568,           0.0046568,           0.0046568
                  58,            0.011471,           0.0060744,              0.0118,              0.9427,             0.95062,             0.96146,             0.89673,           0.0054624,            0.002579,           0.0022408,           0.0045184,           0.0045184,           0.0045184
                  59,            0.011389,           0.0060347,            0.011439,             0.92773,             0.96568,             0.96164,              0.8975,           0.0054361,           0.0025751,           0.0022411,           0.0043809,           0.0043809,           0.0043809
                  60,            0.011317,           0.0059829,            0.011224,             0.93444,              0.9592,             0.96167,             0.89827,           0.0054125,           0.0025715,           0.0022435,           0.0042445,           0.0042445,           0.0042445
                  61,            0.011251,           0.0059747,            0.011224,             0.93509,             0.96001,             0.96193,             0.89868,           0.0054014,           0.0025672,            0.002239,           0.0041094,           0.0041094,           0.0041094
                  62,            0.011185,           0.0059642,            0.011147,             0.93439,             0.96088,              0.9622,             0.89939,           0.0053861,           0.0025668,           0.0022377,           0.0039757,           0.0039757,           0.0039757
                  63,            0.011055,           0.0059286,            0.010897,             0.93168,             0.96349,              0.9624,              0.8999,           0.0053775,           0.0025686,           0.0022327,           0.0038434,           0.0038434,           0.0038434
                  64,            0.010987,           0.0058895,            0.010804,             0.93202,             0.96399,             0.96249,              0.9003,           0.0053594,           0.0025672,           0.0022288,           0.0037128,           0.0037128,           0.0037128
