,images,labels,p,r,map50,map
all,120.0,180.0,0.4323116161243398,0.5349948237791662,0.47447619278672865,0.4036541722132504
Geschwindigkeitsbegrenzung 20 km/h,120.0,2.0,0.37283915564722636,0.5,0.6199999999999999,0.5579999999999999
Geschwindigkeitsbegrenzung 30 km/h,120.0,6.0,0.2885568718902052,0.6666666666666666,0.47261,0.44580174999999994
Geschwindigkeitsbegrenzung 50 km/h,120.0,12.0,0.1950609617317543,0.75,0.44511029444075,0.3935238030790239
Geschwindigkeitsbegrenzung 60 km/h,120.0,6.0,0.5672578857292232,0.6666666666666666,0.6814266139657447,0.5953065085639
Geschwindigkeitsbegrenzung 70 km/h,120.0,6.0,0.08291542021700751,0.6666666666666666,0.6693714285714286,0.6024342857142858
Geschwindigkeitsbegrenzung 80 km/h,120.0,7.0,0.21323950762356556,0.7142857142857143,0.20262221713063733,0.16082178552335127
Geschwindigkeitsbegrenzung aufgehoben,120.0,4.0,0.5213437111401424,0.25,0.2866445182724252,0.22559302325581393
Geschwindigkeitsbegrenzung 100 km/h,120.0,13.0,0.4951038258124872,0.46153846153846156,0.3813012325603623,0.30775702543379263
Geschwindigkeitsbegrenzung 120 km/h,120.0,17.0,0.4417939467245023,0.6470588235294118,0.6822553735737946,0.5501218521025028
Überholverbot,120.0,4.0,0.2983002765611461,0.75,0.450046875,0.28042187500000004
Überholverbot für LKW,120.0,16.0,0.7239648393960061,0.8199496884179261,0.8485394736842107,0.6801897125136074
Vorfahrt,120.0,3.0,0.40665422842934257,0.3333333333333333,0.5660000000000001,0.45280000000000004
Vorfahrtsstraße,120.0,13.0,0.8160113631885475,0.5384615384615384,0.5531191836734694,0.40543992373791615
Vorfahrt gewähren,120.0,11.0,0.6100125724671233,0.2727272727272727,0.28906035463365676,0.26691872114419535
Stopschild,120.0,7.0,0.8361213455118742,0.7142857142857143,0.7214009009009009,0.6393891591591592
Verbot für Fahrzeuge aller Art,120.0,1.0,0.3553693555295899,1.0,0.995,0.9949999999999999
Verbot der Einfahrt,120.0,5.0,0.6710689758308805,0.8,0.866111111111111,0.7217657657657657
Gefahrstelle,120.0,8.0,0.5551979951979952,0.75,0.8016554037267081,0.7158002650103519
Kurve links,120.0,1.0,1.0,0.0,0.199,0.1592
Kurve rechts,120.0,1.0,0.013342155715037088,0.13342155715037088,0.0995,0.06965
Unebene Fahrbahn,120.0,3.0,0.33145623100578053,1.0,0.995,0.8966304245283018
Schleudergefahr,120.0,4.0,0.26808857958590576,0.75,0.5090615264797508,0.4124248442367602
Baustelle,120.0,2.0,0.0642417404155613,0.5,0.1412938596491228,0.12716447368421052
Lichtzeichenanlage,120.0,2.0,0.39976841921286366,1.0,0.7450000000000001,0.6086250000000001
Fußgängerüberweg,120.0,2.0,0.9938007687536877,0.5,0.695,0.6057931034482757
spielende Kinder,120.0,1.0,0.0,0.0,0.0,0.0
Schnee- und Eisglätte,120.0,2.0,0.15195839757243265,0.5,0.13471428571428573,0.12124285714285717
Alle Streckenverbote aufgehoben,120.0,1.0,1.0,0.0,0.0,0.0
Vorgeschriebene Fahrtrichtung rechts,120.0,3.0,0.5072603950409437,0.3333333333333333,0.36154064316156537,0.31854230724525384
Vorgeschriebene Fahrtrichtung links,120.0,2.0,0.0,0.0,0.008593160377358487,0.007733844339622639
Vorgeschriebene Fahrtrichtung geradeaus,120.0,5.0,0.6531240784550624,0.6,0.6009134615384615,0.48762019230769227
Vorgeschriebene Fahrtrichtung geradeaus oder rechts,120.0,2.0,0.0,0.0,0.021198501872659176,0.01695880149812734
Rechts vorbei,120.0,7.0,0.38612998260575354,0.5714285714285714,0.5916001347103728,0.49757055081574614
Überholverbot aufgehoben,120.0,1.0,0.4786119612359051,1.0,0.4975,0.398
