,images,labels,p,r,map50,map
all,120.0,180.0,0.5074775678172413,0.1781280682739283,0.1876841243637417,0.12164254623453248
Geschwindigkeitsbegrenzung 20 km/h,120.0,2.0,1.0,0.0,0.0,0.0
Geschwindigkeitsbegrenzung 30 km/h,120.0,6.0,0.566762540545312,0.2334292072119787,0.2949158333333334,0.26542425000000003
Geschwindigkeitsbegrenzung 50 km/h,120.0,12.0,0.2035830375331472,0.3333333333333333,0.2586890628397478,0.2105690567514677
Geschwindigkeitsbegrenzung 60 km/h,120.0,6.0,0.0,0.0,0.0,0.0
Geschwindigkeitsbegrenzung 70 km/h,120.0,6.0,0.0,0.0,0.021360574162679426,0.021360574162679426
Geschwindigkeitsbegrenzung 80 km/h,120.0,7.0,0.45770505092538993,0.42857142857142855,0.3522155232155231,0.24584440748440742
Geschwindigkeitsbegrenzung aufgehoben,120.0,4.0,1.0,0.0,0.0,0.0
Geschwindigkeitsbegrenzung 100 km/h,120.0,13.0,0.0,0.0,0.05837764705882352,0.04470395900178253
Geschwindigkeitsbegrenzung 120 km/h,120.0,17.0,0.41854441960986866,0.11764705882352941,0.19543154761904766,0.1555494223901099
Überholverbot,120.0,4.0,0.39475084119373754,0.5,0.26166666666666666,0.14519444444444446
Überholverbot für LKW,120.0,16.0,1.0,0.0,0.05791564625850339,0.023166258503401354
Vorfahrt,120.0,3.0,0.17755841782171194,0.3333333333333333,0.34504999999999997,0.27603999999999995
Vorfahrtsstraße,120.0,13.0,0.5188990384259655,0.07692307692307693,0.11498351940457203,0.06381598351940458
Vorfahrt gewähren,120.0,11.0,0.5346371956752074,0.45454545454545453,0.4660761363636364,0.25715866477272725
Stopschild,120.0,7.0,0.9881781843533849,0.14285714285714285,0.15921388888888893,0.06368555555555558
Verbot für Fahrzeuge aller Art,120.0,1.0,0.0,0.0,0.0,0.0
Verbot der Einfahrt,120.0,5.0,0.0,0.0,0.015000000000000003,0.0030000000000000005
Gefahrstelle,120.0,8.0,0.3946307289601125,0.25,0.228030303030303,0.201098354978355
Kurve links,120.0,1.0,1.0,0.0,0.0,0.0
Kurve rechts,120.0,1.0,0.0,0.0,0.1421428571428571,0.04264285714285713
Unebene Fahrbahn,120.0,3.0,0.7359802358228547,0.6666666666666666,0.8300000000000001,0.69553
Schleudergefahr,120.0,4.0,0.4104605061404575,0.5,0.42811827956989246,0.2996827956989247
Baustelle,120.0,2.0,0.0,0.0,0.0,0.0
Lichtzeichenanlage,120.0,2.0,0.4193151293670695,0.5,0.5044444444444445,0.25222222222222224
Fußgängerüberweg,120.0,2.0,1.0,0.0,0.0,0.0
spielende Kinder,120.0,1.0,0.0,0.0,0.0,0.0
Schnee- und Eisglätte,120.0,2.0,1.0,0.0,0.0,0.0
Alle Streckenverbote aufgehoben,120.0,1.0,1.0,0.0,0.0,0.0
Vorgeschriebene Fahrtrichtung rechts,120.0,3.0,0.34880985261770264,0.3333333333333333,0.42079999999999995,0.26238111111111106
Vorgeschriebene Fahrtrichtung links,120.0,2.0,0.32639228375662493,0.5,0.5048076923076923,0.25240384615384615
Vorgeschriebene Fahrtrichtung geradeaus,120.0,5.0,0.5244763452648757,0.4,0.41533333333333333,0.22986666666666666
Vorgeschriebene Fahrtrichtung geradeaus oder rechts,120.0,2.0,1.0,0.0,0.0,0.0
Rechts vorbei,120.0,7.0,0.8335534977727831,0.2857142857142857,0.3066872727272727,0.1245061414141414
Überholverbot aufgehoben,120.0,1.0,1.0,0.0,0.0,0.0
