               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.027315,            0.012609,            0.084787,              0.6084,             0.25232,             0.13884,             0.12475,           0.0046128,           0.0022929,            0.026885,            0.003332,            0.003332,            0.070012
                   1,            0.016349,           0.0076918,             0.06676,             0.76747,              0.3772,              0.3602,             0.33515,           0.0040492,           0.0025349,            0.016241,           0.0051656,           0.0051656,            0.038513
                   2,             0.01237,           0.0066253,            0.054837,             0.52398,             0.74693,             0.57773,             0.54451,           0.0034932,            0.002275,            0.010629,           0.0032496,           0.0032496,           0.0032632
