"Step","e100-yolov5m-random-init-gtsdb F1-Score","e100-yolov5m-random-init-gtsdb F1-Score__MIN","e100-yolov5m-random-init-gtsdb F1-Score__MAX","e100-yolov5m-gtsrb-transfer-gtsdb F1-Score","e100-yolov5m-gtsrb-transfer-gtsdb F1-Score__MIN","e100-yolov5m-gtsrb-transfer-gtsdb F1-Score__MAX","e100-yolov5s-coco-transfer-gtsdb F1-Score","e100-yolov5s-coco-transfer-gtsdb F1-Score__MIN","e100-yolov5s-coco-transfer-gtsdb F1-Score__MAX","e100-yolov5m-coco-transfer-gtsdb F1-Score","e100-yolov5m-coco-transfer-gtsdb F1-Score__MIN","e100-yolov5m-coco-transfer-gtsdb F1-Score__MAX"
"0","0","0","0","0.5689362840217663","0.2737771418404001","0.8640954262031325","0.0019024531209863858","0.00012843565373747752","0.003676470588235294","0.004149159663865545","0.001645658263305322","0.006652661064425769"
"1","0","0","0","0.578784775850648","0.43746701968848906","0.7201025320128069","0.0018440709617180203","0.00042016806722689073","0.00326797385620915","0.12740974498515983","0.012724983169930476","0.2420945068003892"
"2","0","0","0","0.627961777299417","0.536668455699778","0.719255098899056","0.0808120588044521","0.00944990293468954","0.15217421467421466","0.19833435769871188","0.19759886763476558","0.1990698477626582"
"3","0","0","0","0.6397753739623269","0.609875221197569","0.6696755267270847","0.14991078713680514","0.038267964190588345","0.2615536100830219","0.30742731132839773","0.026493930905695608","0.5883606917510998"
"4","0","0","0","0.5785505591084437","0.5309361774810635","0.6261649407358237","0.38640048411727895","0.05638053876260049","0.7164204294719574","0.13520668960797683","0.1317351800545078","0.13867819916144583"
"5","0","0","0","0.6131617083247283","0.5727345916242763","0.6535888250251802","0.20524221083678137","0.016752581618193183","0.39373184005536954","0.23456996338984748","0.08886959899271801","0.38027032778697695"
"6","0","0","0","0.6429817794603501","0.5418047217333911","0.744158837187309","0.14591268194052898","0.10445472798101033","0.18737063590004766","0.24693326336281657","0.2248100113455883","0.2690565153800448"
"7","0","0","0","0.6323134855067556","0.5370267820749789","0.7276001889385322","0.3458351673450139","0.11666356519297695","0.5750067694970509","0.3383596586334229","0.18049529204478992","0.4962240252220558"
"8","0","0","0","0.6109297429341094","0.565472931737649","0.6563865541305698","0.4139641228992478","0.12288823890131081","0.7050400068971847","0.3590819585519164","0.29591503267973857","0.42224888442409414"
"9","0","0","0","0.6231798122321767","0.4894529036565971","0.7569067208077562","0.4122270748584815","0.4013364177757016","0.42311773194126134","0.39803933688119547","0.19148366611601922","0.6045950076463718"
"10","0","0","0","0.6109095146939167","0.5458819339392517","0.6759370954485819","0.42397610475760505","0.2159931785748779","0.6319590309403322","0.4109078024354229","0.24451626804567977","0.577299336825166"
"11","0","0","0","0.5621769430894552","0.4820950451096946","0.6422588410692159","0.3937285730164155","0.18100423428080806","0.606452911752023","0.42360696653037166","0.28584340496105204","0.5613705280996912"
"12","0","0","0","0.6155197490534243","0.5883724829185286","0.6426670151883199","0.3787434209842808","0.221683170212582","0.5358036717559796","0.4049649797739049","0.19909807994775314","0.6108318796000567"
"13","0","0","0","0.5845389775908132","0.5549887389809138","0.6140892162007127","0.386586197549424","0.3316038536626772","0.44156854143617086","0.40870022631486785","0.25095420983901373","0.566446242790722"
"14","0","0","0","0.5738653558546614","0.5426199652438819","0.6051107464654407","0.36034243868565485","0.23899606742234974","0.48168880994896","0.4607117339881347","0.19351388125897928","0.7279095867172901"
"15","0.03642521457721151","0.031588562416777745","0.04126186673764528","0.5806827220457853","0.5620551838628227","0.599310260228748","0.3749749191921127","0.2655382530702224","0.48441158531400297","0.44533140028494794","0.29583427650023664","0.5948285240696592"
"16","0.00894668890555034","0.004709654095370047","0.013183723715730636","0.647081442404234","0.6111336485486145","0.6830292362598536","0.4228969402773747","0.28989229724523846","0.5559015833095109","0.46506795472661194","0.3423669467787115","0.5877689626745124"
"17","0.1040781124815889","0.05597834259166439","0.1521778823715134","0.6194898856386133","0.5740914150665558","0.6648883562106708","0.40960330014363544","0.2862807152022839","0.532925885084987","0.47027958723054175","0.25964009576640684","0.6809190786946767"
"18","0.31136467625697234","0.023240031306640298","0.5994893212073044","0.6119145180822365","0.5510907877473118","0.6727382484171613","0.41088738268195313","0.351738481280004","0.4700362840839023","0.4555859368122732","0.3046582473528981","0.6065136262716484"
"19","0.10061541629365138","0.04707345710805918","0.15415737547924357","0.6759634846307883","0.6019205262927272","0.7500064429688492","0.44017281871244085","0.2906695823567593","0.5896760550681224","0.4554835454567552","0.2461502549737844","0.664816835939726"
"20","0.3031445407291644","0.07426660709532681","0.532022474363002","0.6885379693783373","0.5910251593821675","0.7860507793745071","0.4511905548335816","0.3162583414480948","0.5861227682190685","0.4696125692106638","0.2332668965021906","0.705958241919137"
"21","0.38408119213364067","0.05571227359722169","0.7124501106700597","0.6432921806365961","0.6049038593271957","0.6816805019459966","0.45757332340545176","0.26962153416401785","0.6455251126468857","0.46504603420397417","0.27264418587947997","0.6574478825284684"
"22","0.1656793321661875","0.05331498086688398","0.278043683465491","0.684315950308701","0.6160194679309949","0.752612432686407","0.42464680083946527","0.2526175122580352","0.5966760894208953","0.46985490474868163","0.33721801421147823","0.602491795285885"
"23","0.3517929507519152","0.08339353841083944","0.620192363092991","0.6614754729767183","0.6610877016530969","0.6618632443003396","0.43078273844850573","0.23015884419393193","0.6314066327030795","0.47169794684867294","0.3044902382705151","0.6389056554268309"
"24","0.28389919002862646","0.10835250389748659","0.45944587615976634","0.6306161258207053","0.5458193637795875","0.715412887861823","0.4248691844887296","0.25524215362493285","0.5944962153525264","0.4836507936564343","0.28482726423902893","0.6824743230738397"
"25","0.2797307439752416","0.12361845190564914","0.43584303604483404","0.7207993858835772","0.657426236375699","0.7841725353914554","0.425241086949008","0.28110465316347666","0.5693775207345393","0.4482110851125424","0.3928338001867414","0.5035883700383433"
"26","0.32711530536987304","0.07485398993570228","0.5793766208040438","0.7122682104032019","0.6546215071559355","0.7699149136504683","0.4291230782724933","0.2792950513538749","0.5789511051911117","0.4643893077405643","0.3885381179498827","0.5402404975312459"
"27","0.2018232414893842","0.07347057468867327","0.3301759082900951","0.7066763188461982","0.6106990814192733","0.8026535562731232","0.44264795123017353","0.3536757871316696","0.5316201153286775","0.4576707033228999","0.30536881419234363","0.6099725924534561"
"28","0.3485425863183423","0.08049062385135049","0.616594548785334","0.66100998950402","0.6151924302118682","0.7068275487961719","0.459250500966762","0.3088252818644976","0.6096757200690264","0.4801186471016356","0.42948179271708686","0.5307555014861843"
"29","0.3584250333658595","0.10663626310252607","0.610213803629193","0.6552168582289868","0.6080696685428353","0.7023640479151382","0.4668994918731506","0.269140989729225","0.6646579940170761","0.46044325964341865","0.34136321195144725","0.57952330733539"
"30","0.2863159201360093","0.20070338398625595","0.3719284562857627","0.6657011046322504","0.6601633309889747","0.6712388782755261","0.46382576423375743","0.274859943977591","0.6527915844899238","0.46559424937759497","0.3834251219812064","0.5477633767739836"
"31","0.2313621807366646","0.23056918193404163","0.23215517953928758","0.6419678206742219","0.6402610982696432","0.6436745430788005","0.4297059796825479","0.4167126152716362","0.4426993440934596","0.4494969861484458","0.237538605185664","0.6614553671112277"
"32","0.24148084688875554","0.04966797295495526","0.43329372082255585","0.6627449142503763","0.65212222084881","0.6733676076519425","0.45127961476965733","0.2914206116820496","0.6111386178572651","0.484354293910781","0.346685767209503","0.622022820612059"
"33","0.2936277567589366","0.23282233135977756","0.35443318215809566","0.6837954829112414","0.6023209900198002","0.7652699758026824","0.4521213532976648","0.33187247599012304","0.5723702306052065","0.4658532041006578","0.313361585420409","0.6183448227809065"
"34","0.3063065147113778","0.2310741386710621","0.3815388907516935","0.6782836956264471","0.6595644643344779","0.6970029269184164","0.48615243411434717","0.3536284393637335","0.6186764288649608","0.4739482378976395","0.3275430367342132","0.6203534390610658"
"35","0.32327131271176596","0.25626434172426105","0.39027828369927087","0.6828326993567866","0.6661687597055893","0.699496639007984","0.46157988805580896","0.29410332367848707","0.6290564524331308","0.4544051068874674","0.27436785281059883","0.6344423609643359"
"36","0.2841232481742371","0.26733022733099415","0.3009162690174801","0.7119390863699862","0.6967564395912875","0.7271217331486849","0.4840397336982082","0.30619827949469686","0.6618811879017195","0.4779769148689411","0.3207490646349026","0.6352047651029796"
"37","0.3193786247901321","0.2968776164136261","0.34187963316663816","0.6728427619954187","0.6060436979623418","0.7396418260284955","0.45943218074647585","0.2767273576097105","0.6421370038832412","0.4873081868338373","0.33587357813364005","0.6387427955340346"
"38","0.35296881679215747","0.23235478621254022","0.4735828473717747","0.6868565927506858","0.6707454125335655","0.7029677729678062","0.4863998899068568","0.3208004715191079","0.6519993082946057","0.4728986778430428","0.3472689075630252","0.5985284481230604"
"39","0.3852020417063915","0.17333671572425902","0.597067367688524","0.7252036002016526","0.6055348042761091","0.8448723961271963","0.47276161899785446","0.24149704541861408","0.7040261925770949","0.47641856455940856","0.3077545584081532","0.645082570710664"
