"Step","e100-yolov5m-random-init-gtsrb F1-Score","e100-yolov5m-random-init-gtsrb F1-Score__MIN","e100-yolov5m-random-init-gtsrb F1-Score__MAX","e100-yolov5m-coco-transfer-gtsrb F1-Score","e100-yolov5m-coco-transfer-gtsrb F1-Score__MIN","e100-yolov5m-coco-transfer-gtsrb F1-Score__MAX"
"0","0.3461658093704755","0.13623632442548464","0.5560952943154663","0.5239428889266062","0.4372884550599932","0.6105973227932192"
"1","0.4506142593082838","0.3335923565485787","0.5676361620679888","0.6327917996374655","0.586787241512554","0.6787963577623769"
"2","0.5152008340964374","0.3517881654893227","0.6786135027035519","0.6660268592111971","0.6188627244819667","0.7131909939404274"
"3","0.5535802150976867","0.5282955968287425","0.578864833366631","0.8227812277538741","0.8066365461732692","0.838925909334479"
"4","0.6548432433401943","0.6383032627331151","0.6713832239472735","0.8684900204953376","0.8253047212769442","0.911675319713731"
"5","0.7265305213662656","0.670893113417221","0.7821679293153102","0.9163201846042117","0.8746477626259396","0.9579926065824838"
"6","0.7893016077001289","0.7749403488710238","0.8036628665292339","0.9201327496288442","0.8842829564513855","0.9559825428063028"
"7","0.8693596910470263","0.8587447163204134","0.8799746657736391","0.9156524341248018","0.8797425194245416","0.951562348825062"
"8","0.9024260018383646","0.8649621831684708","0.9398898205082584","0.9310975263192665","0.8851033276960849","0.9770917249424479"
"9","0.9068120218365825","0.8788489036864757","0.9347751399866892","0.9374149627498647","0.8951469780741631","0.9796829474255664"
"10","0.9190164428114034","0.8803316763410289","0.9577012092817778","0.9333608778075986","0.8931598866542444","0.9735618689609529"
"11","0.9215729705091925","0.900826742718122","0.942319198300263","0.9262442182725779","0.8898650851276172","0.9626233514175386"
"12","0.9288726697247969","0.8957361172060226","0.9620092222435712","0.934049190693218","0.8889629978465112","0.9791353835399249"
"13","0.9254696334059075","0.8730947440125453","0.9778445227992697","0.9402581724772765","0.9013154822670191","0.979200862687534"
"14","0.9258963333146302","0.8752816587988259","0.9765110078304345","0.9358666060623425","0.898136341529041","0.973596870595644"
"15","0.9310440924071102","0.8896185943149976","0.9724695904992227","0.9420005193702303","0.9030344163717909","0.9809666223686698"
"16","0.9323223577652962","0.8921103645806305","0.9725343509499617","0.9435107883596773","0.9074649765115549","0.9795566002077997"
"17","0.9342631737506637","0.8882507068495552","0.9802756406517721","0.9422469841795748","0.9103252660395355","0.974168702319614"
"18","0.9368004113989865","0.8903925208639335","0.9832083019340395","0.9469760739895615","0.9147697807912502","0.9791823671878729"
"19","0.9356441381125242","0.895093242497546","0.9761950337275024","0.9444437139939696","0.9106390848534729","0.9782483431344663"
"20","0.9362292255271301","0.8975954074394571","0.9748630436148029","0.9393438084777517","0.9132428366166672","0.9654447803388362"
"21","0.936783602686228","0.8971328055764467","0.9764343997960092","0.9472448108016576","0.9115025780589433","0.9829870435443719"
"22","0.9394296934211017","0.8988803037294475","0.979979083112756","0.9411119140277979","0.9248313713273256","0.9573924567282702"
"23","0.9371212493905927","0.9044624934676223","0.9697800053135632","0.9448761339342614","0.9282769933654518","0.961475274503071"
"24","0.9388121735641739","0.9062516097052309","0.9713727374231168","0.9441217662549442","0.9366422643547994","0.951601268155089"
"25","0.9385222600698171","0.9086550038308333","0.9683895163088008","0.9434739102361651","0.9360008980105802","0.9509469224617502"
"26","0.9390939129205148","0.9121727082881064","0.9660151175529232","0.9433943163074068","0.9372588035081637","0.9495298291066498"
"27","0.9405099181448182","0.9135320787788884","0.967487757510748","0.9429346265833274","0.9319648261058922","0.9539044270607626"
"28","0.941194042861513","0.9141389730242105","0.9682491126988154","0.9431062740279081","0.9349525865655403","0.951259961490276"
"29","0.9415003838753311","0.9138361157862019","0.9691646519644601","0.9434782162050512","0.9312898384978044","0.9556665939122979"
"30","0.9420519862741182","0.9135147436853838","0.9705892288628527","0.9438775170780748","0.9342032771799743","0.9535517569761752"
"31","0.9427786164409289","0.9128787373251438","0.9726784955567139","0.9437498642370321","0.9369361757935729","0.9505635526804913"
"32","0.9423061178465979","0.9133399839809396","0.9712722517122561","0.9441079990842836","0.938736863229333","0.949479134939234"
"33","0.9428131541505402","0.9140392926424716","0.9715870156586087","0.9451541181199643","0.9413749192434147","0.9489333169965141"
"34","0.9433939206180642","0.914420283432818","0.9723675578033103","0.9455734799132522","0.9419557994120606","0.9491911604144437"
"35","0.9432754267414823","0.914216611236464","0.9723342422465007","0.9453139111276823","0.9389182877612744","0.9517095344940902"
"36","0.9429178675729258","0.9179708475305942","0.9678648876152575","0.9449155388897217","0.9419382315677055","0.9478928462117377"
"37","0.9423823678577097","0.9328887244259396","0.9518760112894799","0.9450588817317835","0.9412643363308553","0.9488534271327119"
"38","0.9438579228698913","0.9339292942561683","0.9537865514836144","0.9448601889183553","0.9423723923098194","0.9473479855268913"
"39","0.945085408246038","0.93597897975653","0.9541918367355461","0.9449575194915458","0.9412719588800916","0.9486430801029999"
"40","0.9461748214611831","0.9378905479745124","0.9544590949478537","0.945031347080082","0.9373764272806454","0.9526862668795186"
"41","0.9471291301207123","0.9416322131786977","0.9526260470627268","0.9447744911796087","0.9369398285092043","0.952609153850013"
"42","0.9472934515235265","0.943385574853077","0.9512013281939762","0.945192971028749","0.9409781493952095","0.9494077926622884"
"43","0.946900755552856","0.9421912650419557","0.9516102460637563","0.9460169339694164","0.9425218054616352","0.9495120624771978"
"44","0.9482859224684712","0.9353694740631432","0.9612023708737993","0.9460129507553627","0.9425148134243769","0.9495110880863485"
"45","0.9490602730690807","0.9355147873735135","0.962605758764648","0.9463257168501371","0.9415221891513199","0.9511292445489543"
"46","0.9513275653802405","0.9403288383409727","0.9623262924195084","0.946381986420175","0.9420929231494902","0.9506710496908599"
"47","0.9522493073704741","0.9433640755168745","0.9611345392240737","0.9464785360364263","0.9417860457511573","0.9511710263216954"
"48","0.9525202540994715","0.9440344760464711","0.9610060321524719","0.9465492304935887","0.9420640334696899","0.9510344275174875"
"49","0.9540648138708894","0.9454672449848368","0.9626623827569419","0.9466564188405073","0.9424770568670852","0.9508357808139296"
"50","0.9544237392293755","0.9484370072378696","0.9604104712208815","0.9466676365608732","0.9424518357129372","0.9508834374088091"
"51","0.9545363765370847","0.9491983258741763","0.9598744271999929","0.9469277939120357","0.9426682934042172","0.9511872944198543"
"52","0.9547917182393625","0.9446468204774249","0.9649366160013001","0.9473032770549484","0.9429519602170621","0.9516545938928348"
"53","0.9550861013801485","0.946782082001038","0.963390120759259","0.946972251146438","0.9446029859437897","0.9493415163490865"
"54","0.9560013870538602","0.9499416948164883","0.9620610792912321","0.9468146248187055","0.9449919195540774","0.9486373300833337"
"55","0.9557308379478308","0.9501233602147967","0.9613383156808648","0.946428742661306","0.9436123188826208","0.9492451664399914"
"56","0.9564813937176144","0.9527337400306326","0.9602290474045962","0.9464533806036688","0.9437743844079399","0.9491323767993975"
"57","0.9572333792257666","0.9506034545091636","0.9638633039423695","0.9466156982537022","0.9463161084635185","0.9469152880438857"
"58","0.9571091667830975","0.9511045176409418","0.9631138159252534","0.9466598287911517","0.9427032840146411","0.9506163735676624"
"59","0.9566461822861942","0.9503674214045158","0.9629249431678726","0.9467074960270487","0.9277314022235916","0.9656835898305058"
"60","0.9575247112696633","0.9537786616017051","0.9612707609376215","0.9468197299650116","0.9344369934990648","0.9592024664309583"
"61","0.9579940685607167","0.9577668423056691","0.9582212948157643","0.9475485871408704","0.9350863151081623","0.9600108591735786"
"62","0.9584365128922541","0.9580939268069568","0.9587790989775512","0.9476327226973937","0.9343886241601397","0.9608768212346477"
"63","0.9589267822353117","0.9588542365122893","0.9589993279583341","0.9475840541591993","0.931679848013023","0.9634882603053758"
"64","0.9594501761060064","0.9579295071323803","0.9609708450796324","0.9480063030597077","0.9320186384709994","0.963993967648416"
"65","0.9597150981783247","0.9558441689889065","0.9635860273677429","0.9482948283431747","0.9331848189162067","0.9634048377701425"
"66","0.9604341925552999","0.9595148640390058","0.9613535210715941","0.9483553990747187","0.933823856134487","0.9628869420149504"
"67","0.9609226703230055","0.9599795659204702","0.9618657747255408","0.9488591700913509","0.9398581864880804","0.9578601536946215"
"68","0.9613221094422528","0.9602321000013585","0.9624121188831473","0.9491002997069624","0.9405589976280507","0.957641601785874"
"69","0.9591646006688898","0.9579208038194988","0.9604083975182807","0.9481949557393687","0.9363989822559393","0.959990929222798"
"70","0.9614875724231557","0.9613502472171218","0.9616248976291898","0.9479531517158211","0.9454577560069662","0.950448547424676"
"71","0.9619090700436812","0.9597007678976213","0.964117372189741","0.9478454647912382","0.9443677951821975","0.9513231344002788"
"72","0.9618264638247201","0.9597074106973595","0.9639455169520807","0.9485453381333324","0.9447650402902709","0.9523256359763941"
"73","0.96218590787123","0.9590553455539788","0.9653164701884812","0.9485452685303924","0.9464793789169605","0.9506111581438244"
"74","0.9618701903612701","0.9592177683492977","0.9645226123732425","0.9482145272849085","0.9478331005505515","0.9485959540192654"
"75","0.9616566736449297","0.9587313485596863","0.9645819987301729","0.9489193435252685","0.9487946514292336","0.9490440356213036"
"76","0.9614784017693414","0.9585512445248812","0.9644055590138015","0.9489299224595635","0.94836310954293","0.949496735376197"
"77","0.9617045627399787","0.9585975464137554","0.9648115790662021","0.9485493972510933","0.9485065523364226","0.9485922421657641"
"78","0.9615860620942116","0.9598959019517465","0.9632762222366766","0.9486498510302372","0.9484529485865176","0.9488467534739567"
"79","0.9615135921281656","0.9592558712085718","0.9637713130477593","0.9490782404236647","0.9480851617923409","0.9500713190549885"
"80","0.9618395421029424","0.9592188400958231","0.9644602441100617","0.949429144024528","0.9485306369601398","0.9503276510889163"
"81","0.9611894153656746","0.9591827034022185","0.9631961273291308","0.9495004377906798","0.9484462075804218","0.9505546680009379"
"82","0.9607720784492368","0.9591337591550123","0.9624103977434615","0.9501915272075643","0.9479358420362055","0.9524472123789229"
"83","0.9603724573994701","0.96027125139745","0.9604736634014903","0.9504956379011056","0.9504899775925686","0.9505012982096426"
"84","0.9606148629816519","0.9599765248072011","0.9612532011561027","0.950717478016617","0.9463507132690779","0.9550842427641559"
"85","0.9598148179302546","0.9595707710192489","0.9600588648412604","0.950556041661325","0.9477947190311033","0.9533173642915467"
