"Step","e100-yolov5m-random-init-gtsdb - metrics/mAP_0.5","e100-yolov5m-random-init-gtsdb - metrics/mAP_0.5__MIN","e100-yolov5m-random-init-gtsdb - metrics/mAP_0.5__MAX","e100-yolov5m-gtsrb-transfer-gtsdb - metrics/mAP_0.5","e100-yolov5m-gtsrb-transfer-gtsdb - metrics/mAP_0.5__MIN","e100-yolov5m-gtsrb-transfer-gtsdb - metrics/mAP_0.5__MAX","e100-yolov5s-coco-transfer-gtsdb - metrics/mAP_0.5","e100-yolov5s-coco-transfer-gtsdb - metrics/mAP_0.5__MIN","e100-yolov5s-coco-transfer-gtsdb - metrics/mAP_0.5__MAX","e100-yolov5m-coco-transfer-gtsdb - metrics/mAP_0.5","e100-yolov5m-coco-transfer-gtsdb - metrics/mAP_0.5__MIN","e100-yolov5m-coco-transfer-gtsdb - metrics/mAP_0.5__MAX"
"0","0","0","0","0.35905486211806065","0.35905486211806065","0.35905486211806065","0.00010157728949577565","0.00010157728949577565","0.00010157728949577565","0.0009267172419745948","0.0009267172419745948","0.0009267172419745948"
"1","0","0","0","0.5808497350170748","0.5808497350170748","0.5808497350170748","0.00028458601087493813","0.00028458601087493813","0.00028458601087493813","0.025353270292719415","0.025353270292719415","0.025353270292719415"
"2","0","0","0","0.6614450567466671","0.6614450567466671","0.6614450567466671","0.015627294874101142","0.015627294874101142","0.015627294874101142","0.03860629869374501","0.03860629869374501","0.03860629869374501"
"3","0","0","0","0.6836733369832876","0.6836733369832876","0.6836733369832876","0.017192311389668775","0.017192311389668775","0.017192311389668775","0.01984797005619205","0.01984797005619205","0.01984797005619205"
"4","0","0","0","0.638156061823569","0.638156061823569","0.638156061823569","0.05032112044888609","0.05032112044888609","0.05032112044888609","0.036847206005541935","0.036847206005541935","0.036847206005541935"
"5","0","0","0","0.6889326601441018","0.6889326601441018","0.6889326601441018","0.04084219076269393","0.04084219076269393","0.04084219076269393","0.037454054954674375","0.037454054954674375","0.037454054954674375"
"6","0","0","0","0.6434982939019205","0.6434982939019205","0.6434982939019205","0.03163161629221918","0.03163161629221918","0.03163161629221918","0.04023682475197466","0.04023682475197466","0.04023682475197466"
"7","0","0","0","0.665656868028592","0.665656868028592","0.665656868028592","0.07994137599271087","0.07994137599271087","0.07994137599271087","0.10715562934968281","0.10715562934968281","0.10715562934968281"
"8","0","0","0","0.6920326820063761","0.6920326820063761","0.6920326820063761","0.08926562363768388","0.08926562363768388","0.08926562363768388","0.07851791845390417","0.07851791845390417","0.07851791845390417"
"9","0","0","0","0.6824233409918885","0.6824233409918885","0.6824233409918885","0.1025884894771645","0.1025884894771645","0.1025884894771645","0.08831237047488319","0.08831237047488319","0.08831237047488319"
