,images,labels,p,r,map50,map
all,120.0,180.0,0.736439640446197,0.39300639124903397,0.4610950797777658,0.368344677249126
Geschwindigkeitsbegrenzung 20 km/h,120.0,2.0,1.0,0.0,0.0,0.0
Geschwindigkeitsbegrenzung 30 km/h,120.0,6.0,0.7548118397446613,0.5160394658155375,0.6048539130434782,0.5325919304347826
Geschwindigkeitsbegrenzung 50 km/h,120.0,12.0,0.8663730854141813,0.3333333333333333,0.5959167701863354,0.5038269813664595
Geschwindigkeitsbegrenzung 60 km/h,120.0,6.0,1.0,0.2605920160637493,0.39489355622590916,0.2695401520445785
Geschwindigkeitsbegrenzung 70 km/h,120.0,6.0,0.3767687767687768,0.6666666666666666,0.6540973333333332,0.6055222559999999
Geschwindigkeitsbegrenzung 80 km/h,120.0,7.0,0.6287923993107578,0.14285714285714285,0.60622555410691,0.44649130954657396
Geschwindigkeitsbegrenzung aufgehoben,120.0,4.0,0.0,0.0,0.02566176470588235,0.013892156862745097
Geschwindigkeitsbegrenzung 100 km/h,120.0,13.0,0.781651328748103,0.27946358268938915,0.5950325153546441,0.3847488926349961
Geschwindigkeitsbegrenzung 120 km/h,120.0,17.0,0.5761668599292361,0.5294117647058824,0.4710946428571428,0.39886031277056266
Überholverbot,120.0,4.0,0.7875555483959596,0.75,0.7485454545454545,0.5617681818181819
Überholverbot für LKW,120.0,16.0,0.5871108176404126,0.5,0.5737359981346104,0.4050729799285799
Vorfahrt,120.0,3.0,0.37642380617861065,0.3333333333333333,0.33788391304347826,0.33788391304347826
Vorfahrtsstraße,120.0,13.0,0.879990211237767,0.9230769230769231,0.9281200000000001,0.804837768939394
Vorfahrt gewähren,120.0,11.0,0.7409779468368017,0.7272727272727273,0.7452946428571429,0.5866117410714285
Stopschild,120.0,7.0,0.9145651251547762,0.42857142857142855,0.4347508426966292,0.32092105056179776
Verbot für Fahrzeuge aller Art,120.0,1.0,0.7672726949107598,1.0,0.995,0.8955
Verbot der Einfahrt,120.0,5.0,0.6624754238052576,0.2,0.19921875,0.179296875
Gefahrstelle,120.0,8.0,0.9014758114854494,0.5,0.5057368421052632,0.4587486691729324
Kurve links,120.0,1.0,1.0,0.0,0.0,0.0
Kurve rechts,120.0,1.0,1.0,0.0,0.24875,0.04975
Unebene Fahrbahn,120.0,3.0,1.0,0.0,0.5595486486486486,0.2586639864864865
Schleudergefahr,120.0,4.0,0.8267614572524133,0.5,0.5007954545454545,0.42535227272727266
Baustelle,120.0,2.0,0.0,0.0,0.0,0.0
Lichtzeichenanlage,120.0,2.0,1.0,0.0,0.0,0.0
Fußgängerüberweg,120.0,2.0,1.0,0.0,0.0,0.0
spielende Kinder,120.0,1.0,0.9989033283526279,1.0,0.995,0.796
Schnee- und Eisglätte,120.0,2.0,0.0,0.0,0.12640625,0.050562499999999996
Alle Streckenverbote aufgehoben,120.0,1.0,1.0,0.0,0.0,0.0
Vorgeschriebene Fahrtrichtung rechts,120.0,3.0,1.0,0.6287417752238975,0.66850625,0.5694907812500001
Vorgeschriebene Fahrtrichtung links,120.0,2.0,0.7608150152497518,0.5,0.4980722891566265,0.4482650602409638
Vorgeschriebene Fahrtrichtung geradeaus,120.0,5.0,0.9644943188802838,1.0,0.995,0.7488533333333334
Vorgeschriebene Fahrtrichtung geradeaus oder rechts,120.0,2.0,0.6852745885309907,0.5,0.49786516853932583,0.44807865168539324
Rechts vorbei,120.0,7.0,0.7249032799241333,0.14285714285714285,0.17622615835777128,0.12708726955034214
Überholverbot aufgehoben,120.0,1.0,0.47538411141898235,1.0,0.995,0.8955
