               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.026176,           0.0083446,            0.063202,             0.63444,             0.27437,             0.24572,             0.19283,            0.022496,           0.0073983,            0.063549,           0.0076679,           0.0076679,           0.0076679
                  36,            0.027447,           0.0076254,            0.062397,              0.6352,             0.32075,              0.2401,             0.17462,            0.025833,           0.0077617,             0.06318,            0.007543,            0.007543,            0.007543
                  37,            0.029583,           0.0073538,            0.064965,             0.63874,             0.33587,             0.23416,             0.15352,            0.024393,           0.0074628,            0.063274,            0.007416,            0.007416,            0.007416
                  38,            0.024783,            0.007492,            0.060961,             0.59853,             0.34727,             0.25882,             0.17624,            0.022323,           0.0071232,            0.062139,           0.0072872,           0.0072872,           0.0072872
                  39,            0.026011,           0.0074066,            0.060985,             0.64508,             0.30775,             0.26597,             0.20263,            0.021084,           0.0072438,             0.06169,           0.0071566,           0.0071566,           0.0071566
                  40,            0.025419,           0.0075219,            0.059068,             0.60698,             0.37758,             0.26107,             0.19514,            0.022434,            0.007165,            0.061318,           0.0070243,           0.0070243,           0.0070243
                  41,            0.023075,           0.0064306,            0.059786,             0.61444,             0.33933,             0.27489,             0.21087,            0.021592,           0.0070143,            0.061198,           0.0068906,           0.0068906,           0.0068906
                  42,            0.026007,           0.0066574,             0.05875,              0.6574,             0.30435,             0.29005,             0.21387,            0.022758,           0.0069651,              0.0611,           0.0067555,           0.0067555,           0.0067555
                  43,            0.023623,           0.0066496,            0.057931,             0.63059,             0.33103,             0.28869,             0.20875,            0.024552,           0.0069788,            0.060557,           0.0066191,           0.0066191,           0.0066191
                  44,            0.021809,           0.0068524,            0.060287,             0.60836,             0.36049,             0.29677,              0.2207,             0.02029,           0.0069821,            0.060131,           0.0064816,           0.0064816,           0.0064816
                  45,            0.024808,           0.0075495,            0.060309,             0.63693,             0.32655,             0.29468,             0.21847,             0.02652,           0.0072852,            0.059947,           0.0063432,           0.0063432,           0.0063432
                  46,            0.023094,           0.0068748,            0.058621,             0.76458,             0.25936,             0.30048,             0.23215,            0.019029,           0.0066645,            0.059214,            0.006204,            0.006204,            0.006204
                  47,            0.021153,            0.006626,            0.054988,             0.78175,             0.23565,             0.32344,             0.25543,            0.022098,           0.0066798,            0.058798,            0.006064,            0.006064,            0.006064
                  48,            0.021984,           0.0066928,            0.057074,             0.78711,             0.23654,             0.32227,             0.26253,            0.018336,           0.0064278,            0.058623,           0.0059235,           0.0059235,           0.0059235
                  49,             0.02262,           0.0067734,             0.05693,             0.69916,             0.31581,             0.32485,             0.23832,             0.02087,           0.0066381,            0.058275,           0.0057826,           0.0057826,           0.0057826
                  50,            0.024872,           0.0068701,            0.058827,             0.63542,             0.34486,             0.31388,             0.23807,            0.019469,           0.0068841,            0.058431,           0.0056413,           0.0056413,           0.0056413
                  51,            0.020072,           0.0064482,            0.058358,             0.75165,             0.25904,             0.33627,             0.25893,            0.020169,           0.0066351,            0.057351,              0.0055,              0.0055,              0.0055
                  52,            0.020094,           0.0063346,             0.05586,             0.49969,             0.55868,             0.33419,             0.27588,            0.017186,           0.0063588,            0.057059,           0.0053587,           0.0053587,           0.0053587
                  53,            0.021653,           0.0066239,            0.057732,             0.70263,             0.29402,             0.32882,             0.25299,            0.019428,           0.0066187,            0.056848,           0.0052174,           0.0052174,           0.0052174
                  54,            0.019852,           0.0063284,            0.053898,             0.52029,             0.55724,             0.34479,             0.27864,            0.019274,           0.0067375,            0.056524,           0.0050765,           0.0050765,           0.0050765
                  55,            0.022175,           0.0060821,            0.056843,             0.69907,             0.29659,             0.34189,             0.27413,            0.018981,           0.0065697,            0.056164,            0.004936,            0.004936,            0.004936
                  56,            0.019436,           0.0060491,             0.05634,             0.52486,             0.55811,             0.35572,             0.27421,            0.018207,           0.0065784,            0.055617,            0.004796,            0.004796,            0.004796
                  57,            0.019126,           0.0064038,            0.055954,             0.54119,              0.4779,             0.39068,             0.30461,            0.018601,           0.0065032,            0.055507,           0.0046568,           0.0046568,           0.0046568
                  58,            0.020364,           0.0063718,            0.053236,             0.60523,             0.49542,              0.3964,             0.31062,            0.018188,           0.0063905,            0.055499,           0.0045184,           0.0045184,           0.0045184
                  59,            0.018734,           0.0060008,            0.055919,             0.64451,             0.45118,             0.41476,             0.32463,             0.01894,           0.0065949,            0.054986,           0.0043809,           0.0043809,           0.0043809
