,images,labels,p,r,map50,map
all,120.0,180.0,0.43080440987652124,0.06639928698752229,0.08311792780748663,0.05085015797972082
Geschwindigkeitsbegrenzung 20 km/h,120.0,2.0,0.899727566394233,0.5,0.546,0.49140000000000006
Geschwindigkeitsbegrenzung 30 km/h,120.0,6.0,0.3909871100740566,0.16666666666666666,0.26958000000000004,0.24262200000000003
Geschwindigkeitsbegrenzung 50 km/h,120.0,12.0,0.19841091091091093,0.16666666666666666,0.20302909090909096,0.17299897520661162
Geschwindigkeitsbegrenzung 60 km/h,120.0,6.0,0.0,0.0,0.0,0.0
Geschwindigkeitsbegrenzung 70 km/h,120.0,6.0,0.0,0.0,0.0,0.0
Geschwindigkeitsbegrenzung 80 km/h,120.0,7.0,0.0,0.0,0.0,0.0
Geschwindigkeitsbegrenzung aufgehoben,120.0,4.0,1.0,0.0,0.0,0.0
Geschwindigkeitsbegrenzung 100 km/h,120.0,13.0,0.0,0.0,0.0,0.0
Geschwindigkeitsbegrenzung 120 km/h,120.0,17.0,1.0,0.0,0.0,0.0
Überholverbot,120.0,4.0,0.3342735904097741,0.25,0.1570454545454545,0.0628181818181818
Überholverbot für LKW,120.0,16.0,1.0,0.0,0.0,0.0
Vorfahrt,120.0,3.0,0.0,0.0,0.0,0.0
Vorfahrtsstraße,120.0,13.0,1.0,0.0,0.0,0.0
Vorfahrt gewähren,120.0,11.0,0.21655716875673958,0.09090909090909091,0.07753,0.023259000000000002
Stopschild,120.0,7.0,1.0,0.0,0.0,0.0
Verbot für Fahrzeuge aller Art,120.0,1.0,0.0,0.0,0.0,0.0
Verbot der Einfahrt,120.0,5.0,0.0,0.0,0.11625,0.011625
Gefahrstelle,120.0,8.0,0.5993811722978389,0.25,0.3970000000000001,0.33884971428571437
Kurve links,120.0,1.0,1.0,0.0,0.0,0.0
Kurve rechts,120.0,1.0,0.0,0.0,0.0,0.0
Unebene Fahrbahn,120.0,3.0,0.0,0.0,0.0,0.0
Schleudergefahr,120.0,4.0,0.0,0.0,0.0,0.0
Baustelle,120.0,2.0,0.0,0.0,0.0,0.0
Lichtzeichenanlage,120.0,2.0,0.0,0.0,0.0,0.0
Fußgängerüberweg,120.0,2.0,1.0,0.0,0.0,0.0
spielende Kinder,120.0,1.0,0.0,0.0,0.0,0.0
Schnee- und Eisglätte,120.0,2.0,1.0,0.0,0.0,0.0
Alle Streckenverbote aufgehoben,120.0,1.0,1.0,0.0,0.0,0.0
Vorgeschriebene Fahrtrichtung rechts,120.0,3.0,0.5,0.3333333333333333,0.500825,0.050082499999999995
Vorgeschriebene Fahrtrichtung links,120.0,2.0,0.5080124169581687,0.5,0.5587500000000002,0.3352500000000001
Vorgeschriebene Fahrtrichtung geradeaus,120.0,5.0,0.0,0.0,0.0,0.0
Vorgeschriebene Fahrtrichtung geradeaus oder rechts,120.0,2.0,0.0,0.0,0.0,0.0
Rechts vorbei,120.0,7.0,1.0,0.0,0.0,0.0
Überholverbot aufgehoben,120.0,1.0,1.0,0.0,0.0,0.0
