,images,labels,p,r,map50,map
all,120.0,180.0,0.16709146575575684,0.10645159205786185,0.08426783435154513,0.05513440904813511
Geschwindigkeitsbegrenzung 20 km/h,120.0,2.0,0.0,0.0,0.0,0.0
Geschwindigkeitsbegrenzung 30 km/h,120.0,6.0,0.31934553601220267,0.5,0.21000000000000002,0.16693428758169934
Geschwindigkeitsbegrenzung 50 km/h,120.0,12.0,0.1352802580137343,0.25,0.22851648351648354,0.18823409590409593
Geschwindigkeitsbegrenzung 60 km/h,120.0,6.0,0.0,0.0,0.0,0.0
Geschwindigkeitsbegrenzung 70 km/h,120.0,6.0,0.0,0.0,0.035607058823529415,0.03204635294117648
Geschwindigkeitsbegrenzung 80 km/h,120.0,7.0,0.21082443473442067,0.2857142857142857,0.22709882352941177,0.17597750980392157
Geschwindigkeitsbegrenzung aufgehoben,120.0,4.0,1.0,0.0,0.0,0.0
Geschwindigkeitsbegrenzung 100 km/h,120.0,13.0,0.0,0.0,0.036636764705882355,0.021982058823529414
Geschwindigkeitsbegrenzung 120 km/h,120.0,17.0,0.1481422259200037,0.058823529411764705,0.07178476190476192,0.05661629761904763
Überholverbot,120.0,4.0,0.07039195972529305,0.25,0.25961538461538464,0.2076923076923077
Überholverbot für LKW,120.0,16.0,1.0,0.0,0.0,0.0
Vorfahrt,120.0,3.0,0.12734509161985397,0.3333333333333333,0.36051153846153844,0.2523580769230769
Vorfahrtsstraße,120.0,13.0,0.0,0.0,0.0,0.0
Vorfahrt gewähren,120.0,11.0,0.06466948288407151,0.09090909090909091,0.11053275862068965,0.055266379310344824
Stopschild,120.0,7.0,0.0,0.0,0.0,0.0
Verbot für Fahrzeuge aller Art,120.0,1.0,0.0,0.0,0.0,0.0
Verbot der Einfahrt,120.0,5.0,0.134191245646354,0.2,0.21340909090909094,0.10670454545454547
Gefahrstelle,120.0,8.0,0.316167705527639,0.23390722393216157,0.2097058823529412,0.15610767507002804
Kurve links,120.0,1.0,0.0,0.0,0.0,0.0
Kurve rechts,120.0,1.0,0.0,0.0,0.0,0.0
Unebene Fahrbahn,120.0,3.0,0.276814294358154,0.3333333333333333,0.1244224358974359,0.08709570512820512
Schleudergefahr,120.0,4.0,0.1453069400915206,0.25,0.2687500000000001,0.21500000000000008
Baustelle,120.0,2.0,0.0,0.0,0.0,0.0
Lichtzeichenanlage,120.0,2.0,0.2169761616657921,0.5,0.14336538461538462,0.04300961538461538
Fußgängerüberweg,120.0,2.0,0.0,0.0,0.0,0.0
spielende Kinder,120.0,1.0,0.0,0.0,0.0,0.0
Schnee- und Eisglätte,120.0,2.0,0.0,0.0,0.0,0.0
Alle Streckenverbote aufgehoben,120.0,1.0,1.0,0.0,0.0,0.0
Vorgeschriebene Fahrtrichtung rechts,120.0,3.0,0.5156544994966933,0.3333333333333333,0.36515000000000003,0.109545
Vorgeschriebene Fahrtrichtung links,120.0,2.0,0.0,0.0,0.0,0.0
Vorgeschriebene Fahrtrichtung geradeaus,120.0,5.0,0.0,0.0,0.0,0.0
Vorgeschriebene Fahrtrichtung geradeaus oder rechts,120.0,2.0,0.0,0.0,0.0,0.0
Rechts vorbei,120.0,7.0,0.0,0.0,0.0,0.0
Überholverbot aufgehoben,120.0,1.0,0.0,0.0,0.0,0.0
