               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.054122,           0.0074746,             0.01945,             0.43245,             0.42542,             0.42643,             0.23776,            0.043378,           0.0080877,            0.041007,           0.0063036,           0.0063036,            0.021304
                  37,            0.054356,           0.0071592,            0.019621,             0.62075,             0.35551,             0.43765,             0.26538,            0.045992,           0.0087177,            0.040242,           0.0063617,           0.0063617,            0.019062
                  38,            0.053861,           0.0071349,            0.020735,               0.598,             0.35694,             0.41249,             0.25801,            0.054026,               0.008,            0.040557,           0.0064123,           0.0064123,            0.016812
                  39,             0.05941,           0.0074931,            0.018338,             0.70223,             0.34845,              0.4412,             0.28084,            0.046432,           0.0079357,            0.039476,           0.0064554,           0.0064554,            0.014555
                  40,            0.050669,           0.0071728,            0.017081,             0.76579,             0.24692,             0.43218,             0.25827,            0.048481,           0.0082247,            0.041789,           0.0064909,           0.0064909,            0.012291
                  41,            0.053648,           0.0071894,             0.01792,             0.71264,             0.29989,             0.41057,             0.24037,            0.047787,           0.0082237,            0.044191,            0.006519,            0.006519,            0.010019
                  42,            0.052632,           0.0076858,            0.018045,             0.63049,             0.30833,             0.41871,             0.29228,            0.043129,           0.0082834,            0.046206,           0.0065397,           0.0065397,           0.0077397
                  43,            0.049429,           0.0075617,            0.018635,             0.29488,             0.51213,             0.42213,             0.27276,            0.041655,           0.0081148,            0.046173,           0.0064816,           0.0064816,           0.0064816
                  44,            0.050659,           0.0070487,            0.018876,             0.59074,             0.39324,             0.38775,             0.24399,            0.045436,           0.0079454,            0.047416,           0.0064816,           0.0064816,           0.0064816
                  45,            0.057427,           0.0068961,            0.016828,             0.52145,             0.39975,             0.40723,             0.27135,            0.044304,            0.008098,            0.043255,           0.0063432,           0.0063432,           0.0063432
                  46,            0.051733,           0.0072029,            0.018357,             0.63793,             0.33004,             0.41461,             0.27149,            0.044782,           0.0080755,            0.050116,            0.006204,            0.006204,            0.006204
                  47,            0.050275,           0.0068651,            0.017729,              0.7106,             0.28786,             0.37542,             0.23999,            0.043561,           0.0085482,             0.04848,            0.006064,            0.006064,            0.006064
                  48,            0.049908,           0.0071763,            0.018148,             0.56753,             0.35117,             0.39622,             0.26447,            0.046466,            0.008216,            0.048669,           0.0059235,           0.0059235,           0.0059235
                  49,             0.04969,           0.0071364,            0.018928,             0.72129,             0.36084,             0.43906,             0.29481,            0.043794,           0.0078651,            0.042817,           0.0057826,           0.0057826,           0.0057826
                  50,            0.046325,           0.0073284,            0.017599,             0.47408,             0.43694,             0.47643,             0.30162,            0.041069,           0.0079342,            0.040153,           0.0056413,           0.0056413,           0.0056413
