,images,labels,p,r,map50,map
all,120.0,180.0,0.9349762528175041,0.8954733384608847,0.955276217616233,0.8079863960858977
Geschwindigkeitsbegrenzung 20 km/h,120.0,2.0,0.989888545178804,1.0,0.995,0.8955
Geschwindigkeitsbegrenzung 30 km/h,120.0,6.0,0.9863819542182115,1.0,0.995,0.8882332280701754
Geschwindigkeitsbegrenzung 50 km/h,120.0,12.0,1.0,0.7588935328363189,0.9380000000000001,0.800494463063063
Geschwindigkeitsbegrenzung 60 km/h,120.0,6.0,1.0,0.9114874133392652,0.995,0.8027843864118894
Geschwindigkeitsbegrenzung 70 km/h,120.0,6.0,0.7355161028694113,1.0,0.995,0.9680414965986396
Geschwindigkeitsbegrenzung 80 km/h,120.0,7.0,1.0,0.8994442621893602,0.995,0.8756843157894736
Geschwindigkeitsbegrenzung aufgehoben,120.0,4.0,1.0,0.7615285905964225,0.995,0.6805196078431373
Geschwindigkeitsbegrenzung 100 km/h,120.0,13.0,0.798319216104451,0.6923076923076923,0.8651904761904762,0.6846420772955858
Geschwindigkeitsbegrenzung 120 km/h,120.0,17.0,0.7772891150954876,0.7647058823529411,0.8505465367965367,0.7182946169157474
Überholverbot,120.0,4.0,0.9889781997566429,1.0,0.995,0.6841921052631579
Überholverbot für LKW,120.0,16.0,0.9963840520946154,1.0,0.995,0.8419574398907106
Vorfahrt,120.0,3.0,0.9781276684261759,1.0,0.995,0.8517090683229813
Vorfahrtsstraße,120.0,13.0,0.9963270529395819,1.0,0.995,0.8579405599276345
Vorfahrt gewähren,120.0,11.0,0.9963121852010741,1.0,0.995,0.87539405148423
Stopschild,120.0,7.0,0.990237579996526,1.0,0.995,0.8783259957537155
Verbot für Fahrzeuge aller Art,120.0,1.0,0.9536241547986962,1.0,0.995,0.9949999999999999
Verbot der Einfahrt,120.0,5.0,1.0,0.8873658935008628,0.995,0.8199732142857142
Gefahrstelle,120.0,8.0,1.0,0.7713659938894044,0.9283333333333333,0.8575843373493977
Kurve links,120.0,1.0,0.9515463317744687,1.0,0.995,0.796
Kurve rechts,120.0,1.0,0.4902616164889422,1.0,0.995,0.796
Unebene Fahrbahn,120.0,3.0,0.9865291595450325,1.0,0.995,0.9292125961538462
Schleudergefahr,120.0,4.0,0.9942775131520736,1.0,0.995,0.7899199346405228
Baustelle,120.0,2.0,1.0,0.5434668430886338,0.995,0.796
Lichtzeichenanlage,120.0,2.0,0.6597428557305101,1.0,0.995,0.8209026946107784
Fußgängerüberweg,120.0,2.0,0.9710830729495709,0.5,0.7450000000000001,0.7201795774647889
spielende Kinder,120.0,1.0,0.9789576723674145,1.0,0.995,0.796
Schnee- und Eisglätte,120.0,2.0,0.9639704574834316,1.0,0.995,0.8955
Alle Streckenverbote aufgehoben,120.0,1.0,0.9917578974593337,1.0,0.995,0.796
Vorgeschriebene Fahrtrichtung rechts,120.0,3.0,0.7108943426184805,1.0,0.8300000000000002,0.7142090683229816
Vorgeschriebene Fahrtrichtung links,120.0,2.0,0.9630816987199966,0.5,0.595,0.4862333333333334
Vorgeschriebene Fahrtrichtung geradeaus,120.0,5.0,0.9997526110103067,1.0,0.995,0.776145569620253
Vorgeschriebene Fahrtrichtung geradeaus oder rechts,120.0,2.0,1.0,0.5983845464263219,0.995,0.7459781249999999
Rechts vorbei,120.0,7.0,0.9938301660032698,0.8571428571428571,0.8573210526315789,0.741485603508772
Überholverbot aufgehoben,120.0,1.0,0.9461213738126283,1.0,0.995,0.8955
