,images,labels,p,r,map50,map
all,120.0,180.0,0.6289488040499639,0.2355240350965182,0.29404120968031877,0.2500602056760204
Geschwindigkeitsbegrenzung 20 km/h,120.0,2.0,0.0,0.0,0.19517857142857134,0.17566071428571423
Geschwindigkeitsbegrenzung 30 km/h,120.0,6.0,0.19105388913818033,0.16666666666666666,0.2754768049155146,0.264878930875576
Geschwindigkeitsbegrenzung 50 km/h,120.0,12.0,0.2170769301204084,0.415930215930216,0.12457855109650894,0.10387397897574982
Geschwindigkeitsbegrenzung 60 km/h,120.0,6.0,1.0,0.2909348984519827,0.37610714285714286,0.3384964285714286
Geschwindigkeitsbegrenzung 70 km/h,120.0,6.0,0.21072990472620198,0.6666666666666666,0.6705180327868853,0.5825414754098361
Geschwindigkeitsbegrenzung 80 km/h,120.0,7.0,0.0,0.0,0.05751590909090909,0.044102269360269356
Geschwindigkeitsbegrenzung aufgehoben,120.0,4.0,0.8319738408499716,0.25,0.43822725951758207,0.27866201685556524
Geschwindigkeitsbegrenzung 100 km/h,120.0,13.0,1.0,0.0,0.2715343735866124,0.18604219604396943
Geschwindigkeitsbegrenzung 120 km/h,120.0,17.0,0.847613869137048,0.5882352941176471,0.6652820460241511,0.524697667087768
Überholverbot,120.0,4.0,0.0,0.0,0.0,0.0
Überholverbot für LKW,120.0,16.0,0.8795135499452987,0.5625,0.6646168627450981,0.5189634453781513
Vorfahrt,120.0,3.0,1.0,0.0,0.06847653061224489,0.05339612244897958
Vorfahrtsstraße,120.0,13.0,0.8455771834010176,0.3076923076923077,0.31768484848484846,0.2200539862258953
Vorfahrt gewähren,120.0,11.0,0.8850031098013348,0.2727272727272727,0.28665645161290326,0.23070838709677424
Stopschild,120.0,7.0,0.8237230562612525,0.42857142857142855,0.4348616477272726,0.39669338068181803
Verbot für Fahrzeuge aller Art,120.0,1.0,0.6296627645822267,1.0,0.995,0.9949999999999999
Verbot der Einfahrt,120.0,5.0,0.6705450214612518,0.6,0.6017582417582416,0.5084102564102563
Gefahrstelle,120.0,8.0,1.0,0.6698963114057455,0.8411388235294118,0.7149257478991597
Kurve links,120.0,1.0,1.0,0.0,0.124375,0.1119375
Kurve rechts,120.0,1.0,0.0,0.0,0.11055555555555555,0.08844444444444444
Unebene Fahrbahn,120.0,3.0,0.5537847558844934,0.6666666666666666,0.8064285714285717,0.7120916571428574
Schleudergefahr,120.0,4.0,0.3550140580237954,0.25,0.3134302325581395,0.2942267441860465
Baustelle,120.0,2.0,0.0,0.0,0.03785714285714285,0.03407142857142857
Lichtzeichenanlage,120.0,2.0,1.0,0.0,0.0,0.0
Fußgängerüberweg,120.0,2.0,1.0,0.0,0.2842857142857142,0.22742857142857137
spielende Kinder,120.0,1.0,1.0,0.0,0.0,0.0
Schnee- und Eisglätte,120.0,2.0,1.0,0.0,0.11071428571428567,0.09096271889400917
Alle Streckenverbote aufgehoben,120.0,1.0,1.0,0.0,0.0,0.0
Vorgeschriebene Fahrtrichtung rechts,120.0,3.0,0.7004483708084817,0.3333333333333333,0.34026428571428574,0.3062378571428572
Vorgeschriebene Fahrtrichtung links,120.0,2.0,1.0,0.0,0.0,0.0
Vorgeschriebene Fahrtrichtung geradeaus,120.0,5.0,0.2735617562006451,0.10942470248025804,0.1857432432432433,0.14031756756756758
Vorgeschriebene Fahrtrichtung geradeaus oder rechts,120.0,2.0,1.0,0.0,0.0,0.0
Rechts vorbei,120.0,7.0,0.4689772773571656,0.42857142857142855,0.39913499999999996,0.35922149999999997
Überholverbot aufgehoben,120.0,1.0,0.0,0.0,0.0,0.0
