,images,labels,p,r,map50,map
all,120.0,180.0,0.8748778158581355,0.5483331160069557,0.663407323528493,0.5289165152587403
Geschwindigkeitsbegrenzung 20 km/h,120.0,2.0,1.0,0.0,0.048035714285714286,0.04323214285714286
Geschwindigkeitsbegrenzung 30 km/h,120.0,6.0,1.0,0.40031403159141615,0.547650724637681,0.4756521014492753
Geschwindigkeitsbegrenzung 50 km/h,120.0,12.0,1.0,0.43876951263517894,0.6522371004476557,0.5263673408537587
Geschwindigkeitsbegrenzung 60 km/h,120.0,6.0,1.0,0.4181236300213685,0.8051587301587303,0.5910449971988795
Geschwindigkeitsbegrenzung 70 km/h,120.0,6.0,0.8978468218664297,0.8333333333333334,0.8380676691729324,0.7413590225563911
Geschwindigkeitsbegrenzung 80 km/h,120.0,7.0,0.6667484928431255,0.2858545591596439,0.5745564516129031,0.47078416980645166
Geschwindigkeitsbegrenzung aufgehoben,120.0,4.0,1.0,0.2881662235261117,0.5909595959595959,0.4195885756297148
Geschwindigkeitsbegrenzung 100 km/h,120.0,13.0,0.8083433129248931,0.32694610674975333,0.646578330206379,0.5445817870097382
Geschwindigkeitsbegrenzung 120 km/h,120.0,17.0,0.6602017786122626,0.7058823529411765,0.6844738952536824,0.5711082711836035
Überholverbot,120.0,4.0,1.0,0.0,0.3553819444444444,0.25488541666666664
Überholverbot für LKW,120.0,16.0,0.7092684415681831,0.6875,0.642924891774892,0.5420838427128427
Vorfahrt,120.0,3.0,1.0,0.7492124558640959,0.995,0.8131144505494505
Vorfahrtsstraße,120.0,13.0,1.0,0.5467683890717387,0.7640119047619048,0.549643095982143
Vorfahrt gewähren,120.0,11.0,0.9868944056630892,0.8181818181818182,0.8222346153846154,0.6512101282051282
Stopschild,120.0,7.0,0.9575773266491423,0.42857142857142855,0.5542916666666666,0.5065184583333333
Verbot für Fahrzeuge aller Art,120.0,1.0,0.8190002109027266,1.0,0.995,0.8955
Verbot der Einfahrt,120.0,5.0,0.4603101960407897,0.3523722352489477,0.5391999999999999,0.41274
Gefahrstelle,120.0,8.0,1.0,0.5347584387690552,0.6361587301587301,0.5661444444444445
Kurve links,120.0,1.0,0.9520604719867009,1.0,0.995,0.8955
Kurve rechts,120.0,1.0,0.9070877114252134,1.0,0.995,0.8955
Unebene Fahrbahn,120.0,3.0,0.9502835814500176,1.0,0.995,0.8629878260869566
Schleudergefahr,120.0,4.0,0.8946662582772531,0.5,0.895,0.7026913580246914
Baustelle,120.0,2.0,1.0,0.0,0.0,0.0
Lichtzeichenanlage,120.0,2.0,0.6166220420962968,1.0,0.8283333333333331,0.4477092198581559
Fußgängerüberweg,120.0,2.0,1.0,0.0,0.06605532786885246,0.04623872950819672
spielende Kinder,120.0,1.0,1.0,0.0,0.0,0.0
Schnee- und Eisglätte,120.0,2.0,0.6419153036757977,1.0,0.995,0.8210241935483872
Alle Streckenverbote aufgehoben,120.0,1.0,0.9325895243992484,1.0,0.995,0.6965
Vorgeschriebene Fahrtrichtung rechts,120.0,3.0,0.6177762690920585,1.0,0.995,0.797530824742268
Vorgeschriebene Fahrtrichtung links,120.0,2.0,1.0,0.0,0.6633333333333333,0.39906392694063925
Vorgeschriebene Fahrtrichtung geradeaus,120.0,5.0,0.9375864245479456,0.4,0.5034112379857062,0.34986874640598054
Vorgeschriebene Fahrtrichtung geradeaus oder rechts,120.0,2.0,0.9066548297430975,0.5,0.5092857142857143,0.40633116883116893
Rechts vorbei,120.0,7.0,0.6843073073073073,0.42857142857142855,0.4335080882352941,0.39015727941176465
Überholverbot aufgehoben,120.0,1.0,0.7381050281050281,1.0,0.995,0.6965
