,images,labels,p,r,map50,map
all,120.0,180.0,0.836238963767058,0.8138050611201444,0.9195867716285512,0.7819418826292022
Geschwindigkeitsbegrenzung 20 km/h,120.0,2.0,0.9004512456606824,1.0,0.995,0.8955
Geschwindigkeitsbegrenzung 30 km/h,120.0,6.0,0.9258624668959015,1.0,0.995,0.8854085238095237
Geschwindigkeitsbegrenzung 50 km/h,120.0,12.0,0.866569327012365,0.54399019272437,0.8818859816653933,0.7569582167248922
Geschwindigkeitsbegrenzung 60 km/h,120.0,6.0,1.0,0.7714608640309006,0.995,0.7923859702760085
Geschwindigkeitsbegrenzung 70 km/h,120.0,6.0,0.5457843668013159,1.0,0.9416666666666667,0.890030358974359
Geschwindigkeitsbegrenzung 80 km/h,120.0,7.0,0.7718910132703236,1.0,0.9775,0.8563203727810651
Geschwindigkeitsbegrenzung aufgehoben,120.0,4.0,1.0,0.5159148601137552,0.835909090909091,0.6593445413034454
Geschwindigkeitsbegrenzung 100 km/h,120.0,13.0,0.7132392225116905,0.38461538461538464,0.7034756176654147,0.5486840433035244
Geschwindigkeitsbegrenzung 120 km/h,120.0,17.0,0.7066289216094663,0.8823529411764706,0.8686581165594128,0.7296535101300835
Überholverbot,120.0,4.0,0.7902752425628243,1.0,0.995,0.7465169491525423
Überholverbot für LKW,120.0,16.0,0.9774250101751442,1.0,0.995,0.8261108753545306
Vorfahrt,120.0,3.0,1.0,0.7932344108814697,0.995,0.8627421582733813
Vorfahrtsstraße,120.0,13.0,0.972293586803603,1.0,0.995,0.8278197236795461
Vorfahrt gewähren,120.0,11.0,0.9654501099587804,1.0,0.995,0.8711295503685503
Stopschild,120.0,7.0,0.9621458924884466,1.0,0.995,0.9075664358108109
Verbot für Fahrzeuge aller Art,120.0,1.0,0.8461450626449726,1.0,0.995,0.9949999999999999
Verbot der Einfahrt,120.0,5.0,0.9765366336201112,1.0,0.995,0.8319198717948717
Gefahrstelle,120.0,8.0,0.9828227801968044,0.875,0.9435714285714284,0.852656733333333
Kurve links,120.0,1.0,1.0,0.0,0.995,0.796
Kurve rechts,120.0,1.0,0.43677814124347614,1.0,0.995,0.6965
Unebene Fahrbahn,120.0,3.0,0.9234105026503736,1.0,0.995,0.9622244
Schleudergefahr,120.0,4.0,0.6791756756756756,0.75,0.9116666666666666,0.7213111888111887
Baustelle,120.0,2.0,0.44848913751656894,0.5,0.4475,0.358
Lichtzeichenanlage,120.0,2.0,0.7715644071490846,0.5,0.8283333333333331,0.6626666666666665
Fußgängerüberweg,120.0,2.0,0.8605466977769136,0.5,0.7450000000000001,0.6705000000000001
spielende Kinder,120.0,1.0,0.8352251284582112,1.0,0.995,0.8955
Schnee- und Eisglätte,120.0,2.0,1.0,0.7956605673996979,0.995,0.8955
Alle Streckenverbote aufgehoben,120.0,1.0,0.9995346630766785,1.0,0.995,0.6965
Vorgeschriebene Fahrtrichtung rechts,120.0,3.0,0.5935749596630772,1.0,0.995,0.8517289795918368
Vorgeschriebene Fahrtrichtung links,120.0,2.0,0.7970003664253313,0.5,0.595,0.4811166666666667
Vorgeschriebene Fahrtrichtung geradeaus,120.0,5.0,0.9544466230099231,1.0,0.995,0.8558942307692308
Vorgeschriebene Fahrtrichtung geradeaus oder rechts,120.0,2.0,0.8068593345821069,0.5,0.8283333333333331,0.6791779279279279
Rechts vorbei,120.0,7.0,0.9511716013958166,0.8571428571428571,0.8574499999999999,0.7321561138888888
Überholverbot aufgehoben,120.0,1.0,0.47082664724430184,1.0,0.995,0.8955
