,images,labels,p,r,map50,map
all,120.0,180.0,0.7426123920488427,0.15181253118163782,0.1926401798192357,0.14058211639436344
Geschwindigkeitsbegrenzung 20 km/h,120.0,2.0,1.0,0.0,0.0,0.0
Geschwindigkeitsbegrenzung 30 km/h,120.0,6.0,1.0,0.4942517427535406,0.5045625,0.40572487500000004
Geschwindigkeitsbegrenzung 50 km/h,120.0,12.0,0.8182098963571648,0.25,0.3685435449274159,0.2730281394666556
Geschwindigkeitsbegrenzung 60 km/h,120.0,6.0,0.35088633013504267,0.16666666666666666,0.27524999999999994,0.1839062352941176
Geschwindigkeitsbegrenzung 70 km/h,120.0,6.0,0.3570614449474307,0.6666666666666666,0.6485368421052633,0.5734864582043345
Geschwindigkeitsbegrenzung 80 km/h,120.0,7.0,0.3975583945190694,0.14285714285714285,0.4130628415300548,0.3178871430700448
Geschwindigkeitsbegrenzung aufgehoben,120.0,4.0,0.0,0.0,0.0,0.0
Geschwindigkeitsbegrenzung 100 km/h,120.0,13.0,0.9959195837058432,0.07692307692307693,0.28436720406503013,0.18168663507023644
Geschwindigkeitsbegrenzung 120 km/h,120.0,17.0,0.3559421542754876,0.17647058823529413,0.3342471347280223,0.282199194422632
Überholverbot,120.0,4.0,0.441739523456975,0.25,0.3044444444444445,0.21626481481481488
Überholverbot für LKW,120.0,16.0,0.5887052429605621,0.125,0.25308193293650977,0.15743724252897326
Vorfahrt,120.0,3.0,1.0,0.0,0.0,0.0
Vorfahrtsstraße,120.0,13.0,0.7300544989433878,0.6153846153846154,0.685666918755402,0.44694806219903693
Vorfahrt gewähren,120.0,11.0,0.6419224010335121,0.32989418322751657,0.38577551639631225,0.26902821274361066
Stopschild,120.0,7.0,0.0,0.0,0.020597222222222218,0.016477777777777775
Verbot für Fahrzeuge aller Art,120.0,1.0,1.0,0.0,0.05527777777777777,0.03869444444444444
Verbot der Einfahrt,120.0,5.0,1.0,0.0,0.0,0.0
Gefahrstelle,120.0,8.0,0.8293645118401921,0.25,0.28215439803439796,0.2522775724815724
Kurve links,120.0,1.0,1.0,0.0,0.0,0.0
Kurve rechts,120.0,1.0,1.0,0.0,0.0,0.0
Unebene Fahrbahn,120.0,3.0,1.0,0.0,0.0,0.0
Schleudergefahr,120.0,4.0,1.0,0.0,0.019023809523809526,0.015219047619047622
Baustelle,120.0,2.0,1.0,0.0,0.0,0.0
Lichtzeichenanlage,120.0,2.0,1.0,0.0,0.0,0.0
Fußgängerüberweg,120.0,2.0,1.0,0.0,0.0,0.0
spielende Kinder,120.0,1.0,1.0,0.0,0.0,0.0
Schnee- und Eisglätte,120.0,2.0,0.2746542346040224,0.2746542346040224,0.2532954545454545,0.1013181818181818
Alle Streckenverbote aufgehoben,120.0,1.0,1.0,0.0,0.0,0.0
Vorgeschriebene Fahrtrichtung rechts,120.0,3.0,1.0,0.0,0.018972596153846152,0.01707533653846154
Vorgeschriebene Fahrtrichtung links,120.0,2.0,1.0,0.0,0.1720833333333333,0.13766666666666666
Vorgeschriebene Fahrtrichtung geradeaus,120.0,5.0,0.23150257082007825,0.2,0.13977866473149494,0.09450435413642962
Vorgeschriebene Fahrtrichtung geradeaus oder rechts,120.0,2.0,1.0,0.0,0.03971052631578946,0.02779736842105262
Rechts vorbei,120.0,7.0,0.36641135517540013,0.14285714285714285,0.09633345132743365,0.0746641946902655
Überholverbot aufgehoben,120.0,1.0,0.8688891868864805,1.0,0.995,0.6965
