               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.026724,           0.0084263,            0.068598,             0.66188,              0.3062,              0.1971,             0.13681,            0.026084,            0.008033,            0.067905,            0.007543,            0.007543,            0.007543
                  37,            0.029065,           0.0079757,            0.067295,             0.64214,             0.27673,             0.19668,             0.13203,            0.021499,           0.0081266,            0.067533,            0.007416,            0.007416,            0.007416
                  38,            0.023513,           0.0074843,            0.066902,               0.652,              0.3208,             0.19678,             0.14036,            0.022408,           0.0080681,            0.066956,           0.0072872,           0.0072872,           0.0072872
                  39,              0.0236,           0.0074719,            0.067748,             0.70403,              0.2415,             0.19576,             0.15496,            0.020437,           0.0079387,            0.066664,           0.0071566,           0.0071566,           0.0071566
                  40,            0.022895,            0.007681,             0.06578,             0.60155,             0.31143,             0.19855,              0.1508,            0.022791,           0.0080846,            0.066292,           0.0070243,           0.0070243,           0.0070243
                  41,            0.023969,           0.0076068,            0.068107,             0.61482,             0.30847,             0.20274,             0.15034,            0.019889,           0.0079563,            0.066033,           0.0068906,           0.0068906,           0.0068906
                  42,            0.025578,           0.0081014,            0.067644,             0.64036,             0.30158,             0.19033,             0.13486,            0.024028,           0.0082098,            0.065601,           0.0067555,           0.0067555,           0.0067555
                  43,            0.027409,           0.0085555,            0.065825,             0.57991,             0.33149,              0.1898,              0.1417,            0.020737,           0.0082411,            0.065304,           0.0066191,           0.0066191,           0.0066191
                  44,            0.024829,           0.0078053,            0.064872,             0.58984,             0.30555,             0.19135,             0.13698,            0.022778,           0.0079946,            0.064817,           0.0064816,           0.0064816,           0.0064816
                  45,            0.025863,             0.00794,            0.065296,             0.55321,             0.32872,              0.1872,             0.14176,            0.021668,           0.0078411,            0.064362,           0.0063432,           0.0063432,           0.0063432
                  46,              0.0222,           0.0070873,            0.063423,             0.68801,             0.24182,             0.19075,             0.14911,            0.021004,           0.0076377,              0.0641,            0.006204,            0.006204,            0.006204
                  47,            0.024535,            0.007669,            0.064601,             0.59636,             0.26377,             0.19298,             0.14208,            0.022986,           0.0078422,            0.063658,            0.006064,            0.006064,            0.006064
                  48,            0.023001,           0.0069329,            0.062611,             0.58837,              0.3018,             0.19844,             0.14093,            0.022529,           0.0077029,            0.063226,           0.0059235,           0.0059235,           0.0059235
                  49,            0.021435,           0.0073642,            0.062227,             0.59419,             0.30511,              0.2034,             0.16622,            0.017171,           0.0075267,            0.062867,           0.0057826,           0.0057826,           0.0057826
                  50,            0.022465,           0.0077001,            0.065363,             0.56382,             0.30005,             0.20432,             0.15492,            0.020712,           0.0075956,            0.062537,           0.0056413,           0.0056413,           0.0056413
                  51,            0.021339,           0.0075296,            0.062041,             0.56383,             0.32887,             0.18804,             0.14024,            0.019884,           0.0076599,            0.062229,              0.0055,              0.0055,              0.0055
                  52,            0.019725,           0.0070145,            0.061729,             0.66256,             0.28569,              0.1966,             0.15836,             0.01905,           0.0077257,             0.06218,           0.0053587,           0.0053587,           0.0053587
                  53,            0.020108,           0.0070036,            0.058902,              0.6054,             0.29844,             0.19524,             0.15786,            0.018984,           0.0078066,            0.061762,           0.0052174,           0.0052174,           0.0052174
                  54,            0.020835,           0.0067327,            0.061452,             0.67308,              0.2636,              0.1937,             0.15838,            0.018225,            0.007659,            0.061712,           0.0050765,           0.0050765,           0.0050765
                  55,            0.022093,           0.0071163,            0.060875,             0.57595,             0.31797,             0.20015,             0.15503,            0.022134,           0.0081282,            0.061152,            0.004936,            0.004936,            0.004936
                  56,            0.021893,           0.0075559,            0.061957,             0.54206,             0.33159,             0.19975,             0.15621,            0.020483,           0.0078655,            0.061055,            0.004796,            0.004796,            0.004796
                  57,            0.019439,           0.0066517,            0.059717,             0.50569,             0.34206,             0.20525,             0.16055,             0.01818,           0.0077069,            0.060774,           0.0046568,           0.0046568,           0.0046568
                  58,            0.020854,           0.0066326,            0.058628,              0.5077,             0.37937,             0.24046,              0.1886,            0.019223,           0.0072615,            0.060741,           0.0045184,           0.0045184,           0.0045184
                  59,            0.018525,           0.0063845,             0.05951,             0.57678,              0.3814,             0.24073,             0.19575,            0.017591,           0.0072249,            0.060166,           0.0043809,           0.0043809,           0.0043809
                  60,            0.018161,           0.0066808,            0.060424,             0.64067,             0.31487,             0.22262,             0.18484,            0.016935,           0.0071299,            0.059994,           0.0042445,           0.0042445,           0.0042445
                  61,            0.020113,           0.0069192,            0.057483,             0.58002,             0.37862,             0.22404,             0.17858,            0.017898,           0.0072099,            0.059894,           0.0041094,           0.0041094,           0.0041094
                  62,            0.017758,           0.0064508,            0.059924,             0.69205,             0.29304,             0.22894,             0.18029,            0.017916,           0.0072821,            0.059737,           0.0039757,           0.0039757,           0.0039757
                  63,             0.01865,           0.0063918,            0.058447,             0.71614,             0.25877,             0.22891,             0.18832,             0.01774,           0.0073864,            0.059426,           0.0038434,           0.0038434,           0.0038434
                  64,            0.018686,           0.0066333,            0.059139,             0.64904,             0.35584,             0.23442,             0.18403,             0.01774,           0.0073523,              0.0591,           0.0037128,           0.0037128,           0.0037128
                  65,            0.017092,           0.0062458,            0.060425,             0.69665,             0.26476,             0.24846,              0.2036,            0.016421,           0.0072251,            0.059036,            0.003584,            0.003584,            0.003584
                  66,             0.01904,           0.0066224,            0.059722,             0.73541,             0.25921,             0.25977,             0.20636,             0.01776,           0.0073001,            0.058951,            0.003457,            0.003457,            0.003457
                  67,            0.017898,           0.0067557,            0.059202,              0.7811,             0.22414,             0.24798,             0.20308,            0.015893,           0.0070527,            0.058676,           0.0033321,           0.0033321,           0.0033321
                  68,            0.017543,           0.0066194,            0.058458,             0.77291,             0.23481,             0.25147,             0.20682,            0.016051,           0.0070181,            0.058519,           0.0032093,           0.0032093,           0.0032093
