,images,labels,p,r,map50,map
all,120.0,180.0,0.40246850856341115,0.19305124155487136,0.17298510833613634,0.10409808883967588
Geschwindigkeitsbegrenzung 20 km/h,120.0,2.0,0.0,0.0,0.0,0.0
Geschwindigkeitsbegrenzung 30 km/h,120.0,6.0,0.41025054138826594,0.3333333333333333,0.37165000000000004,0.3104966666666667
Geschwindigkeitsbegrenzung 50 km/h,120.0,12.0,0.2374158356531238,0.5,0.3406929637526653,0.2804415241971959
Geschwindigkeitsbegrenzung 60 km/h,120.0,6.0,0.38556833429173853,0.3172981492130428,0.15192702702702704,0.08292378378378379
Geschwindigkeitsbegrenzung 70 km/h,120.0,6.0,0.0,0.0,0.02277838235294117,0.02277838235294117
Geschwindigkeitsbegrenzung 80 km/h,120.0,7.0,0.37442705863758496,0.2857142857142857,0.23668727272727272,0.1657201515151515
Geschwindigkeitsbegrenzung aufgehoben,120.0,4.0,1.0,0.0,0.0,0.0
Geschwindigkeitsbegrenzung 100 km/h,120.0,13.0,0.2484660089816814,0.07692307692307693,0.1439939583333333,0.1263445789141414
Geschwindigkeitsbegrenzung 120 km/h,120.0,17.0,0.14245629366884716,0.050278691883122534,0.06867848639455781,0.05521712152777777
Überholverbot,120.0,4.0,0.1897411930397087,0.5,0.23358695652173914,0.17658695652173914
Überholverbot für LKW,120.0,16.0,0.47600103312555175,0.0625,0.0836496,0.06691968000000001
Vorfahrt,120.0,3.0,0.44657322611868067,0.6666666666666666,0.6770214285714287,0.29277875000000003
Vorfahrtsstraße,120.0,13.0,1.0,0.0,0.0,0.0
Vorfahrt gewähren,120.0,11.0,0.5140258149966888,0.36363636363636365,0.39315999999999995,0.21701999999999994
Stopschild,120.0,7.0,0.33672487481435487,0.14285714285714285,0.18273391304347827,0.056973525362318846
Verbot für Fahrzeuge aller Art,120.0,1.0,0.0,0.0,0.07653846153846157,0.04592307692307694
Verbot der Einfahrt,120.0,5.0,0.15979595667095667,0.2,0.10875,0.0435
Gefahrstelle,120.0,8.0,0.3355864230764629,0.25,0.3065,0.265631
Kurve links,120.0,1.0,1.0,0.0,0.24875,0.14925
Kurve rechts,120.0,1.0,0.0,0.0,0.0,0.0
Unebene Fahrbahn,120.0,3.0,0.7801290196087441,0.6666666666666666,0.6718693877551021,0.5716723469387756
Schleudergefahr,120.0,4.0,0.23300767675015568,0.5,0.21688888888888888,0.08766388888888889
Baustelle,120.0,2.0,0.0,0.0,0.0,0.0
Lichtzeichenanlage,120.0,2.0,0.4885624122912258,0.5,0.2585869565217391,0.07757608695652171
Fußgängerüberweg,120.0,2.0,1.0,0.0,0.0,0.0
spielende Kinder,120.0,1.0,1.0,0.0,0.0,0.0
Schnee- und Eisglätte,120.0,2.0,0.0,0.0,0.0,0.0
Alle Streckenverbote aufgehoben,120.0,1.0,1.0,0.0,0.0,0.0
Vorgeschriebene Fahrtrichtung rechts,120.0,3.0,0.2296603558846284,0.3333333333333333,0.3534250000000001,0.21205500000000005
Vorgeschriebene Fahrtrichtung links,120.0,2.0,0.2667584799587521,0.5,0.505625,0.1516875
Vorgeschriebene Fahrtrichtung geradeaus,120.0,5.0,0.42877875219882655,0.31453450263859184,0.22799999999999998,0.080175
Vorgeschriebene Fahrtrichtung geradeaus oder rechts,120.0,2.0,0.0,0.0,0.0,0.0
Rechts vorbei,120.0,7.0,0.0,0.0,0.0,0.0
Überholverbot aufgehoben,120.0,1.0,1.0,0.0,0.0,0.0
