,images,labels,p,r,map50,map
all,120.0,180.0,0.8013832436674114,0.8678387761153183,0.9094102857387233,0.7460804378332027
Geschwindigkeitsbegrenzung 20 km/h,120.0,2.0,0.8636345394650091,1.0,0.995,0.8955
Geschwindigkeitsbegrenzung 30 km/h,120.0,6.0,0.9368159996148293,1.0,0.995,0.885446358974359
Geschwindigkeitsbegrenzung 50 km/h,120.0,12.0,1.0,0.8466901767668051,0.963,0.8094418243929983
Geschwindigkeitsbegrenzung 60 km/h,120.0,6.0,0.9783685737234968,1.0,0.995,0.8165710133333333
Geschwindigkeitsbegrenzung 70 km/h,120.0,6.0,0.6523556903391158,0.8333333333333334,0.7978571428571428,0.6977844858156028
Geschwindigkeitsbegrenzung 80 km/h,120.0,7.0,0.6687229490240783,1.0,0.9425000000000001,0.8294859789029537
Geschwindigkeitsbegrenzung aufgehoben,120.0,4.0,1.0,0.8720655904200207,0.995,0.7338517241379311
Geschwindigkeitsbegrenzung 100 km/h,120.0,13.0,0.6964600349141411,0.5302923882634027,0.6524125258799174,0.5142708806566106
Geschwindigkeitsbegrenzung 120 km/h,120.0,17.0,0.6533555852813451,0.5882352941176471,0.7216454116059378,0.6150075006763674
Überholverbot,120.0,4.0,0.7101471690269504,1.0,0.995,0.7462314285714285
Überholverbot für LKW,120.0,16.0,1.0,0.6856700253712832,0.9117322485207101,0.6910408247863249
Vorfahrt,120.0,3.0,0.6991454294618386,0.6666666666666666,0.863,0.6464076807228916
Vorfahrtsstraße,120.0,13.0,0.9184480070090688,1.0,0.995,0.8596997592769803
Vorfahrt gewähren,120.0,11.0,0.9549888689902684,0.8181818181818182,0.8198093750000001,0.7220173214285714
Stopschild,120.0,7.0,0.9389599997924438,1.0,0.995,0.9087403571428571
Verbot für Fahrzeuge aller Art,120.0,1.0,0.7800250650031635,1.0,0.995,0.9949999999999999
Verbot der Einfahrt,120.0,5.0,0.8115844610530601,0.8695067663183605,0.9616666666666666,0.821044585987261
Gefahrstelle,120.0,8.0,0.9363519087290667,0.75,0.8328947368421052,0.7886485744161729
Kurve links,120.0,1.0,0.7655485501127188,1.0,0.995,0.796
Kurve rechts,120.0,1.0,0.3217840493866722,1.0,0.995,0.597
Unebene Fahrbahn,120.0,3.0,0.6492134345075522,1.0,0.995,0.8964545918367346
Schleudergefahr,120.0,4.0,0.7921946784797758,0.9609733923988784,0.945,0.7761164383561644
Baustelle,120.0,2.0,1.0,0.7277600789397523,0.995,0.8209199999999999
Lichtzeichenanlage,120.0,2.0,0.4590578313391069,1.0,0.995,0.9203991228070176
Fußgängerüberweg,120.0,2.0,0.7624412530041941,0.5,0.7450000000000001,0.6953953488372093
spielende Kinder,120.0,1.0,0.8543592942633622,1.0,0.995,0.597
Schnee- und Eisglätte,120.0,2.0,0.954341698019859,0.5,0.5042592592592592,0.052934755948000976
Alle Streckenverbote aufgehoben,120.0,1.0,0.9996374831160711,1.0,0.995,0.796
Vorgeschriebene Fahrtrichtung rechts,120.0,3.0,0.6394578606384161,1.0,0.8300000000000002,0.6223135294117647
Vorgeschriebene Fahrtrichtung links,120.0,2.0,0.7790509504795219,0.5,0.6616666666666667,0.6039321428571429
Vorgeschriebene Fahrtrichtung geradeaus,120.0,5.0,0.8515122792408929,1.0,0.995,0.7897083333333333
Vorgeschriebene Fahrtrichtung geradeaus oder rechts,120.0,2.0,0.9058266523466496,1.0,0.995,0.7958248407643312
Rechts vorbei,120.0,7.0,0.7429095762429098,0.8571428571428571,0.8575056818181818,0.7350454829545455
Überholverbot aufgehoben,120.0,1.0,0.5703304120864101,1.0,0.995,0.8955
