               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.014141,           0.0068751,            0.018001,             0.91422,             0.97233,             0.94991,             0.87431,           0.0061393,           0.0027117,           0.0024542,           0.0076679,           0.0076679,           0.0076679
                  36,            0.014067,            0.006861,            0.018181,             0.91797,             0.96786,              0.9505,              0.8747,           0.0061606,           0.0027153,           0.0024443,            0.007543,            0.007543,            0.007543
                  37,            0.013952,           0.0068159,            0.017874,             0.93289,             0.95188,              0.9513,             0.87608,           0.0061485,            0.002716,           0.0024408,            0.007416,            0.007416,            0.007416
                  38,            0.013831,           0.0068021,            0.017773,             0.93393,             0.95379,             0.95198,             0.87683,           0.0061703,           0.0027171,           0.0024388,           0.0072872,           0.0072872,           0.0072872
                  39,            0.013794,           0.0067725,            0.017649,             0.93598,             0.95419,             0.95264,             0.87724,           0.0061661,           0.0027165,            0.002433,           0.0071566,           0.0071566,           0.0071566
                  40,            0.013733,           0.0067546,            0.017463,             0.93789,             0.95446,             0.95352,             0.87758,           0.0061938,           0.0027204,           0.0024326,           0.0070243,           0.0070243,           0.0070243
                  41,            0.013602,           0.0067429,            0.017373,             0.94163,             0.95263,              0.9539,             0.87829,           0.0061983,           0.0027194,            0.002431,           0.0068906,           0.0068906,           0.0068906
                  42,            0.013518,           0.0066982,            0.017092,             0.94339,              0.9512,             0.95459,              0.8792,            0.006203,           0.0027162,           0.0024237,           0.0067555,           0.0067555,           0.0067555
                  43,            0.013431,           0.0066682,             0.01698,             0.94219,             0.95161,             0.95483,             0.87966,           0.0061891,           0.0027139,           0.0024198,           0.0066191,           0.0066191,           0.0066191
                  44,            0.013402,           0.0066904,            0.016641,             0.93537,              0.9612,             0.95579,              0.8807,           0.0062144,           0.0027141,            0.002417,           0.0064816,           0.0064816,           0.0064816
