,images,labels,p,r,map50,map
all,120.0,180.0,0.9159382530011498,0.8680494098095409,0.9438807251691128,0.8025162687676081
Geschwindigkeitsbegrenzung 20 km/h,120.0,2.0,0.9732831572661695,1.0,0.995,0.8955
Geschwindigkeitsbegrenzung 30 km/h,120.0,6.0,0.9829740274184718,1.0,0.995,0.8854056134122288
Geschwindigkeitsbegrenzung 50 km/h,120.0,12.0,0.9811691390638759,0.5833333333333334,0.9206060606060605,0.7788611678396091
Geschwindigkeitsbegrenzung 60 km/h,120.0,6.0,1.0,0.8433717222377016,0.995,0.8410311526881721
Geschwindigkeitsbegrenzung 70 km/h,120.0,6.0,0.5703253410149961,1.0,0.995,0.9371403061224489
Geschwindigkeitsbegrenzung 80 km/h,120.0,7.0,1.0,0.9373678785443491,0.995,0.8725826689075632
Geschwindigkeitsbegrenzung aufgehoben,120.0,4.0,1.0,0.6281655671419452,0.995,0.7963486842105263
Geschwindigkeitsbegrenzung 100 km/h,120.0,13.0,0.7214504044861187,0.40004702504702505,0.8040000000000003,0.6484066648629151
Geschwindigkeitsbegrenzung 120 km/h,120.0,17.0,0.7005336302211302,0.8823529411764706,0.8638565162907269,0.7148113105883935
Überholverbot,120.0,4.0,0.9336580766813325,1.0,0.995,0.7464574468085106
Überholverbot für LKW,120.0,16.0,0.9931168241975803,1.0,0.995,0.8356264189473427
Vorfahrt,120.0,3.0,0.9711931289151818,1.0,0.995,0.8627259060402684
Vorfahrtsstraße,120.0,13.0,0.9928067652171237,1.0,0.995,0.8502674512820514
Vorfahrt gewähren,120.0,11.0,0.9909116408501906,1.0,0.995,0.8797807301740812
Stopschild,120.0,7.0,0.9853578634066439,1.0,0.995,0.89228412
Verbot für Fahrzeuge aller Art,120.0,1.0,0.9348041937300233,1.0,0.995,0.9949999999999999
Verbot der Einfahrt,120.0,5.0,1.0,0.9150452905221298,0.995,0.8438834355828222
Gefahrstelle,120.0,8.0,1.0,0.8103291279560811,0.9283333333333333,0.8575975609756098
Kurve links,120.0,1.0,0.94486467681806,1.0,0.995,0.796
Kurve rechts,120.0,1.0,0.4835532646190329,1.0,0.995,0.796
Unebene Fahrbahn,120.0,3.0,0.9828058674977164,1.0,0.995,0.9292181907894737
Schleudergefahr,120.0,4.0,0.97874769179117,1.0,0.995,0.7588055555555555
Baustelle,120.0,2.0,0.9368734148119189,0.5,0.8283333333333331,0.7123270440251571
Lichtzeichenanlage,120.0,2.0,0.8929610929610929,1.0,0.995,0.8209103773584905
Fußgängerüberweg,120.0,2.0,0.951829076161532,0.5,0.7450000000000001,0.7201808510638299
spielende Kinder,120.0,1.0,0.9512777082259372,1.0,0.995,0.796
Schnee- und Eisglätte,120.0,2.0,1.0,0.6565241904224955,0.995,0.8955
Alle Streckenverbote aufgehoben,120.0,1.0,0.9996589387171104,1.0,0.995,0.6965
Vorgeschriebene Fahrtrichtung rechts,120.0,3.0,0.6708225616921268,1.0,0.8300000000000002,0.714222913907285
Vorgeschriebene Fahrtrichtung links,120.0,2.0,0.9248982167270104,0.5,0.606111111111111,0.43560894660894656
Vorgeschriebene Fahrtrichtung geradeaus,120.0,5.0,0.9944902529648292,1.0,0.995,0.7920288461538461
Vorgeschriebene Fahrtrichtung geradeaus oder rechts,120.0,2.0,0.8737713468044987,0.5,0.8283333333333331,0.6459935483870967
Rechts vorbei,120.0,7.0,0.9870598948939963,0.8571428571428571,0.8573709677419356,0.7470462258064516
Überholverbot aufgehoben,120.0,1.0,0.8367024048842231,1.0,0.995,0.8955
