,images,labels,p,r,map50,map
all,120.0,180.0,0.2871501639113302,0.151266782908342,0.10660206595439949,0.07372834830149905
Geschwindigkeitsbegrenzung 20 km/h,120.0,2.0,0.0,0.0,0.0,0.0
Geschwindigkeitsbegrenzung 30 km/h,120.0,6.0,0.21585586291468645,0.5,0.2774999999999999,0.23718499999999992
Geschwindigkeitsbegrenzung 50 km/h,120.0,12.0,0.4106647263510009,0.3333333333333333,0.3328181818181819,0.26834556960076966
Geschwindigkeitsbegrenzung 60 km/h,120.0,6.0,0.3725312194969187,0.49539160972758156,0.3277906976744186,0.1625148488372093
Geschwindigkeitsbegrenzung 70 km/h,120.0,6.0,0.10098975591971282,0.5,0.3096823506055193,0.2742615723645028
Geschwindigkeitsbegrenzung 80 km/h,120.0,7.0,0.20912171488258444,0.42857142857142855,0.1962856992528675,0.1212577631625101
Geschwindigkeitsbegrenzung aufgehoben,120.0,4.0,0.0,0.0,0.0,0.0
Geschwindigkeitsbegrenzung 100 km/h,120.0,13.0,0.12152672586729349,0.0654374677746965,0.1523915195915196,0.09908447768897768
Geschwindigkeitsbegrenzung 120 km/h,120.0,17.0,0.16713218916148923,0.1893758525050217,0.2146299771167048,0.1693263661540247
Überholverbot,120.0,4.0,0.0,0.0,0.0,0.0
Überholverbot für LKW,120.0,16.0,0.2895226594885298,0.1875,0.17601663685152058,0.12267966470738563
Vorfahrt,120.0,3.0,0.0,0.0,0.0,0.0
Vorfahrtsstraße,120.0,13.0,0.23942315942315942,0.46153846153846156,0.44457657134639883,0.25067205163728995
Vorfahrt gewähren,120.0,11.0,0.5674812341479007,0.18181818181818182,0.23496607142857143,0.15825107142857142
Stopschild,120.0,7.0,0.0,0.0,0.034805555555555555,0.024363888888888886
Verbot für Fahrzeuge aller Art,120.0,1.0,0.0,0.0,0.028428571428571418,0.019899999999999994
Verbot der Einfahrt,120.0,5.0,1.0,0.0,0.0,0.0
Gefahrstelle,120.0,8.0,0.47514277618685974,0.125,0.1458326530612245,0.10208285714285714
Kurve links,120.0,1.0,0.0,0.0,0.0,0.0
Kurve rechts,120.0,1.0,0.0,0.0,0.0,0.0
Unebene Fahrbahn,120.0,3.0,1.0,0.0,0.0,0.0
Schleudergefahr,120.0,4.0,0.032247140757779055,0.032247140757779055,0.08125,0.0325
Baustelle,120.0,2.0,0.0,0.0,0.0,0.0
Lichtzeichenanlage,120.0,2.0,0.0,0.0,0.0,0.0
Fußgängerüberweg,120.0,2.0,1.0,0.0,0.0,0.0
spielende Kinder,120.0,1.0,0.0,0.0,0.0,0.0
Schnee- und Eisglätte,120.0,2.0,0.3242638628603541,0.5,0.3903571428571427,0.24262781954887208
Alle Streckenverbote aufgehoben,120.0,1.0,0.0,0.0,0.0,0.0
Vorgeschriebene Fahrtrichtung rechts,120.0,3.0,0.0,0.0,0.0,0.0
Vorgeschriebene Fahrtrichtung links,120.0,2.0,1.0,0.0,0.0,0.0
Vorgeschriebene Fahrtrichtung geradeaus,120.0,5.0,1.0,0.0,0.0,0.0
Vorgeschriebene Fahrtrichtung geradeaus oder rechts,120.0,2.0,1.0,0.0,0.0,0.0
Rechts vorbei,120.0,7.0,0.06338241142928643,0.14285714285714285,0.028388613861386143,0.022710891089108915
Überholverbot aufgehoben,120.0,1.0,0.17382013409767094,1.0,0.24875,0.199
